# Excited combined fit results
# ensemble: M3
# cmass: 0.280
# FF: A1
# use_disp: True
# frozen: True
# reg_low: 10
# reg_up: 18
# chi2: 31.436427131530206
# ndof: 25
# chi2/dof: 1.2574570852612081
# pvalue: 0.17497203374352432
nsq	O00	dO00	O01	dO01	O10	dO10
0	0.44062515766512195	0.010316577172522556	6.137102233103042e-05	0.8190749442545547	0.33532530662201854	0.0937581815110825
1	0.42266970993150144	0.011187016872634046	0.006085051731428648	0.3631316706864615	0.3233442285384952	0.09870185376790301
2	0.4061494020774001	0.013556889072100406	0.09266072254431582	0.22215871479984373	0.2979780635566128	0.11694470732401158
4	0.36982607046671073	0.02256869050407716	0.14335695382122668	0.23318304098706996	0.06994482578894369	0.22577308082422998
5	0.35975345210073756	0.026935800185807855	0.16803605886448386	0.22665248690884257	0.009955757975186053	0.28272877612984626
