jk_index,nsq0,nsq1,nsq2,nsq4,nsq5
0,0.29609895800161695,0.29820876048629896,0.30482160807423603,0.32608025074716784,0.3428552851154648
1,0.2963265934122252,0.2985106404455454,0.30515148986088075,0.32636862585944537,0.34306973139871044
2,0.296376465905377,0.2986047414408682,0.30531571319807044,0.326724959353681,0.34355370593774015
3,0.2963022244490045,0.29850844440522306,0.30521468148182257,0.32664212832340556,0.3435057506765197
4,0.2967103515192193,0.29906880734256447,0.3058723673796511,0.32737291970793425,0.34421375190703773
5,0.29629657579876556,0.298571223207406,0.30533437171690725,0.3268507382619157,0.3437459879810738
6,0.2962613753638673,0.29831076760454234,0.3048642034126053,0.3260066891814644,0.3427244219414022
7,0.2960424417896209,0.29824435644121305,0.3049202148382598,0.326232497719135,0.3430081764208598
8,0.29623728471941124,0.2985117732371126,0.30524739120541683,0.32664550982081053,0.34345377879893824
9,0.2960836776930323,0.2983568599109494,0.3051240936707453,0.3266644912912597,0.34357538912805213
10,0.2962083194996327,0.2983673939377079,0.30500545294039805,0.3262717931420588,0.3430177089349107
11,0.2962624436274734,0.2985066552698073,0.30523104898141845,0.32665268516734525,0.343490790919999
12,0.29617298650130713,0.29832928645031576,0.3049663171738226,0.32623000079430686,0.34297942940689075
13,0.2956463751573662,0.29763495093569226,0.3040971341106823,0.32499779224897096,0.34155639841093294
14,0.2962047177599757,0.29837487778494787,0.30502061539491726,0.32626598903626347,0.34301678260834956
15,0.2960441063323265,0.2981721504693122,0.3047687997759754,0.3259307644380425,0.34261233831285626
16,0.29641029482699777,0.2985215785571554,0.30515523594814714,0.3264846348098849,0.34332496196216866
17,0.29576520975041914,0.2979055591149044,0.30452990431395055,0.3257725208889327,0.34251687807540454
18,0.29608090259009695,0.2982132989510783,0.30482975756090525,0.32606787294909023,0.34280269099583005
19,0.29598437570809827,0.29833598429388797,0.30527911718032413,0.32735420945318694,0.344659519838947
20,0.29623899952894056,0.29850830703695364,0.30526702078510687,0.3267694893987272,0.34366342055222754
21,0.2960455334805336,0.2982842778519445,0.3050103249414916,0.32645366450516905,0.34330857287876393
22,0.295857059071001,0.297993574689772,0.3045975879650954,0.3257484119907124,0.3424387116066868
23,0.2961109107520861,0.298405436347423,0.3051670208514435,0.3266319333937687,0.343478857936489
24,0.2966076087343362,0.29878485254212633,0.3054495150277067,0.32677762646166086,0.34357022669753323
25,0.29633003510392153,0.2985129433427035,0.3051724725022533,0.3264642950534383,0.34322848673041795
26,0.29658285590848016,0.2986742582761778,0.30520943528712247,0.3261960214171168,0.3427614023091877
27,0.29666925966639,0.2986670468558806,0.3050687497129875,0.325692497766934,0.3420384587047991
28,0.29581279285788326,0.2978011886654935,0.30423235568878193,0.32501890250148935,0.3414764299755381
29,0.2959193399652103,0.2980615889842365,0.30468857398194216,0.32594316141920165,0.3426909607622175
30,0.2964509473538839,0.2988007448832948,0.30566390742995636,0.32740294606170367,0.34445782959401683
31,0.2961588477711347,0.2984598889284288,0.3052492740680258,0.3268153517087111,0.3437368845597598
32,0.296212386559642,0.29843414251657296,0.30512236701445683,0.32644163804329895,0.3432135257963758
33,0.29603982105996585,0.29815612915575507,0.3047156835580512,0.3257442456246594,0.34233375475688443
34,0.2963128672257744,0.2984415488696708,0.3050587545339186,0.3262839681074998,0.34303321490305716
35,0.2958255704602013,0.2980151849987215,0.3047186682533941,0.32617338758984693,0.3430642113345793
36,0.296294384321224,0.2985176937471051,0.3052181188260453,0.326584346687123,0.34339188706323176
37,0.2961068987659589,0.2983895274637674,0.30517066090164474,0.32673599884706783,0.3436725918526484
38,0.2961101602581476,0.29839678300810696,0.3051854239557187,0.3267808852652558,0.34373148605208503
39,0.29639966688991387,0.2985892088607745,0.30523017844233263,0.32642869046446343,0.343119285794319
40,0.2964211649271851,0.29865241630144346,0.30530070266895365,0.3264604796164938,0.34307948641023456
41,0.29616506656711244,0.29838657409507696,0.305078022203753,0.3264200867559305,0.343201392925939
42,0.29602176015901643,0.29814555979722274,0.304784622879238,0.326118989673627,0.34294757120577923
43,0.29605525491965107,0.2981845968369391,0.304769010340444,0.3258648587746752,0.3425064834974042
44,0.2961016629876761,0.29825675965779197,0.30492552306242904,0.3263278412978785,0.34318067767476645
45,0.29623760340812366,0.29844481747422175,0.305146652901044,0.32656962243061527,0.3434144117451545
46,0.29597897112223365,0.2981326457147557,0.30477448969891296,0.3260646679394175,0.34283511530271527
47,0.29610035362371573,0.29819910002303346,0.30479897261449096,0.326037002941494,0.3427933160774186
48,0.29625080150466737,0.29849459595625305,0.3052261107566994,0.32667906785916556,0.34354071979348816
49,0.2963430007786083,0.2985943654968375,0.30531580534366476,0.3267139135106606,0.34352619053485445
50,0.29607047560770955,0.29834140146763943,0.3050930503639141,0.32656732422701495,0.3434343645655137
51,0.2962799328923185,0.29856748288350654,0.3053525206526235,0.32693484318631905,0.34387126948943847
52,0.2962808193046356,0.29839850567081905,0.30494060464655237,0.32588423040802206,0.34241643624384577
53,0.29622654197842346,0.2983579468672922,0.30495951195267235,0.32612258961180685,0.342814445771745
54,0.29601044679925703,0.2981890530678294,0.3048776170537735,0.3263002230961455,0.34316654161843374
55,0.2963400438801038,0.29867594003389825,0.3054721782576849,0.32699548660038025,0.34386173373573325
56,0.296257732341762,0.2984569392451418,0.305134288638324,0.32645676130878515,0.34324345208868484
57,0.29637602358631954,0.298516953073126,0.30510594028156823,0.3262044359597981,0.34283383442160265
58,0.2962438791068996,0.29827658662004364,0.30474088020313816,0.3255526911266376,0.3420215026775034
59,0.2961021760737777,0.2984313832452238,0.3052351591723848,0.3268004564015653,0.34370609912780875
60,0.2964039970591419,0.29856536664673605,0.3051863230295287,0.326364780098513,0.34305290006918554
61,0.29609321213980966,0.2983406722120717,0.3050523452432311,0.32641777962888585,0.34320749398922473
62,0.29609681566768936,0.2983712268619318,0.3051591154703141,0.32677195559836225,0.34374791633789076
63,0.29614485691256415,0.2983635441797499,0.30507257036337065,0.32649236579426427,0.3433362839930151
64,0.29613622649122817,0.2983482725093976,0.3050487537010455,0.32643930217503453,0.34327179491411897
65,0.29615785317452964,0.29842081155736144,0.305143446211775,0.3265075163210781,0.3433004096672462
66,0.2960536400569023,0.29825828146549466,0.30495198649751665,0.3263461048015426,0.34317065382390793
67,0.2962955248638884,0.29841085777343723,0.30488677431926947,0.3255878665543974,0.3419092476035872
68,0.29612052669680144,0.2982766872995621,0.30491763757659307,0.32617695964566984,0.34294260943157706
