jackknife_index	O00_1	O00_2	O00_3	O00_4	O00_5	O01_1	O01_2	O01_3	O01_4	O01_5	O10_1	O10_2	O10_3	O10_4	O10_5
10	0.27557118641606493	0.2658202500404219	0.25597603999006613	0.2539815936774193	0.24033775797809412	-0.034779643306126484	-0.0413528815056521	-0.04535060852079541	-0.034141031403203785	-0.04629965607032922	0.35910169991331026	0.2968465920877448	0.265099839282084	0.23352881152636662	0.20865323749475131
11	0.275077034779671	0.26522714424015775	0.2553042982937524	0.2528067920841405	0.2394358039598663	-0.0344724408553821	-0.04034722757461404	-0.043976956933570316	-0.03188306056294399	-0.04453576179864693	0.36640675948676316	0.30086656651339694	0.26630355914894005	0.24321648169290785	0.2051522754106026
12	0.27543903019090893	0.26558728498754086	0.25562921045664705	0.2537514782400485	0.24016534725448574	-0.03390129898588952	-0.040224608916945806	-0.04400269179203133	-0.03320755714234823	-0.0457452306800091	0.3647584824215001	0.3006406027715198	0.268166887025301	0.24310565297126177	0.20279912261487462
13	0.27537660234570555	0.2655565788509603	0.2556579143795614	0.2534049377007811	0.23996384759561268	-0.03414369358772461	-0.04033713924347969	-0.04422250770352468	-0.03275409564098877	-0.04538962463026215	0.3639216343864973	0.2974601856736796	0.2631473320056466	0.22984409175786394	0.19384552732280674
14	0.2756813418126595	0.26591735702212055	0.2560497551766233	0.2538969828384276	0.24036892327015283	-0.035340201497368266	-0.041252869549174995	-0.04498782202306549	-0.03335526331193586	-0.04594450874155326	0.36788563736922475	0.3028685871281838	0.2710264730380285	0.23900804481710636	0.20317054560631687
15	0.27533977758356176	0.2656205079483098	0.2558323962143391	0.25354936960073593	0.2399582870789002	-0.03452857094849048	-0.04076421394087625	-0.04464523917786077	-0.03266780906699796	-0.04511806217041266	0.37206503742469205	0.30697295908101896	0.27166030298456856	0.2496712421742217	0.21626947068462982
16	0.27482796587357106	0.2650252907196778	0.25516002978411056	0.25289250421897436	0.23940017294714583	-0.03326919081849132	-0.039743486101609646	-0.04375883580833373	-0.031755585126882944	-0.044599201735719934	0.37238163821545667	0.30621905674433375	0.2734960557155589	0.24605087136984277	0.20706357297902753
17	0.2753606837751466	0.26563186668902306	0.25580271362005697	0.25342853038774554	0.24019323357776087	-0.03535995718645331	-0.041668577051432586	-0.045483176935520495	-0.03340278346066691	-0.04648935266154404	0.3632827091342422	0.2987193002981987	0.2664130041527356	0.2378077481520132	0.1990309326137334
18	0.27541512832216036	0.26556225261920047	0.2556475490116869	0.25353166870591576	0.23993383648538721	-0.03645121441768161	-0.04190984176564311	-0.045547799128154376	-0.034040145528935056	-0.0462229280241582	0.3680651174244488	0.30260275308442086	0.26861905248876994	0.243303825281357	0.20788995231293877
19	0.274874271364426	0.2652178787298277	0.25548738118299225	0.25338639870626617	0.2400619064408759	-0.03507688960306502	-0.04101461054370221	-0.04470840983104009	-0.03295178881958543	-0.045967563578140525	0.3689970427171178	0.30152781361776726	0.2666107635338052	0.24210868545768702	0.20445619172922103
20	0.27482466689402635	0.2650220189419139	0.25517352656031395	0.2528969629812108	0.23947420245923223	-0.03273326874239014	-0.03956623144152634	-0.04380469668496307	-0.03206567473557045	-0.04533083799055195	0.3731056600927518	0.30813243039552657	0.2747094948539206	0.2471056363836938	0.2030145492660782
21	0.2752004557316128	0.265416385454228	0.2554843927738662	0.25335774612830936	0.23962058265653116	-0.0331938902467238	-0.040435500437680176	-0.044455744805817	-0.03281298499037047	-0.04572319803629096	0.36709452925559766	0.3025027608833295	0.26907108426496007	0.2361192081360276	0.2017594156505339
22	0.27539415070459394	0.2656528330722123	0.25580732422301633	0.2537645853299918	0.240380895410739	-0.03523642594408975	-0.04107197215646169	-0.044770995060231036	-0.03324699494617274	-0.04601570454451414	0.3687293069857211	0.30310064724508523	0.2693632491671141	0.2352889071174134	0.19888889003801316
23	0.275645158534545	0.2658195527653591	0.2559059143265472	0.25371749611525835	0.24002758681368863	-0.035319103704289374	-0.04129941457225899	-0.04501027524796533	-0.03386151537166947	-0.045855188673972994	0.36637383548421265	0.30060068154699027	0.2666430056396287	0.23768417062331856	0.201183331664189
24	0.2755456287435929	0.2657902490225934	0.25595396603061676	0.25384974759349094	0.24048449307928685	-0.03539305831253589	-0.04126568980164207	-0.044960046521647395	-0.03341908056148063	-0.046084456402792094	0.3621868316395808	0.29711113924204174	0.2638318016200736	0.2293573857202239	0.19043092472819775
25	0.27477808310284857	0.2650386001235948	0.2552166556586567	0.25317335098571764	0.23971246987349956	-0.034730514094041244	-0.04062262033288093	-0.04426856461390176	-0.03330777708425743	-0.045921307987860184	0.37363575794194537	0.30941220244154455	0.2763924946798738	0.2481445667689234	0.20956125059739567
26	0.27544827407851946	0.2657420941967697	0.25591501689185675	0.2536340323756088	0.24030435917415177	-0.03373184588053098	-0.04031246508703197	-0.04411327659668137	-0.03293625970969681	-0.045536760937997675	0.364094575912604	0.2966642488011445	0.26123308370449694	0.22550290776501783	0.1839798644971294
27	0.2753548710935214	0.26553546235846415	0.2556576777371876	0.25382296002896715	0.2403074435236975	-0.03452127299211529	-0.04067529170001442	-0.044487976914646864	-0.03369318728326409	-0.046284328303868805	0.3643665615450745	0.30232748002033105	0.27059955538817604	0.2388539005538638	0.2035613457448578
28	0.2751062653230406	0.26529776122326093	0.2553633604743326	0.25344408134729357	0.23968421286164188	-0.03702720595312424	-0.04227656889891093	-0.04572688015056264	-0.03443804618091478	-0.046285733203848226	0.3655120419368292	0.3004001967133112	0.26878515135379677	0.22750985995550174	0.194220279853581
29	0.27569777677072516	0.2659351889221317	0.25612305566302535	0.25359708222418464	0.2403958176813811	-0.03274173377212594	-0.03991068480523202	-0.04422353414385892	-0.031865530385280394	-0.04522201842534794	0.3657148820620955	0.2985569924340631	0.26203364112391947	0.23705054322206395	0.19521741049987748
