# Excited combined fit results
# ensemble: M2
# cmass: 0.340
# FF: A0
# use_disp: True
# frozen: True
# reg_low: 5
# reg_up: 16
# chi2: 34.820493847963455
# ndof: 40
# chi2/dof: 0.8705123461990864
# pvalue: 0.7021870023078023
nsq	O00	dO00	O01	dO01	O10	dO10
1	0.27531124701919524	0.007833473238821293	-0.034918716458218466	0.04014443601735694	0.36697358323769685	0.11313078062189759
2	0.26552352664300494	0.008159763560684263	-0.04098543151320431	0.026097674794818625	0.3013816013537751	0.12196582229097507
3	0.2556392895781642	0.00882299228380139	-0.04477398159615227	0.021834951032368457	0.26776935964027654	0.14594927904484822
4	0.25348464438587215	0.011435401072025158	-0.033341398456274464	0.023094198828657396	0.23517391813780975	0.23467990298227653
5	0.23999272080409634	0.011047570159255907	-0.045970540162341034	0.01944938659817224	0.19804794068521747	0.22747944450833088
