A0_old,A1_old,A0_new,A1_new,m0,m1,dm
5.633873069113087e-08,3.4030789945500016e-08,1.3968236692484675e-13,1.5071266610032686e-13,1.0614775941875492,1.3526680230659145,0.29119042887836527
5.6334644178806776e-08,3.404730666065871e-08,1.3969733579080154e-13,1.5068778459996222e-13,1.0614603122103003,1.3530156401912474,0.291555327980947
5.633858901878319e-08,3.405019947768737e-08,1.3967904084001876e-13,1.506832353894006e-13,1.0614670154061732,1.3525975226036655,0.29113050719749234
5.6335809318846585e-08,3.4021860279809393e-08,1.3969146932650707e-13,1.5059792480792087e-13,1.0614824933260993,1.352904182313006,0.29142168898690657
5.6332056565074495e-08,3.4051801390810155e-08,1.3970888412386218e-13,1.5059164467848614e-13,1.0614483714526846,1.3528095124564952,0.2913611410038105
5.615735144844646e-08,3.3948704524363555e-08,1.3916746035109026e-13,1.4949145051858167e-13,1.061302573970326,1.349264811307691,0.2879622373373651
5.6340782721587485e-08,3.403305129827621e-08,1.3967786782148209e-13,1.506846058625032e-13,1.0614576407224945,1.3526900069344197,0.29123236621192505
5.633969514321638e-08,3.39985410254514e-08,1.3967601501946473e-13,1.5076089975390288e-13,1.0614635965613102,1.3528984220739593,0.29143482551264904
5.634016764940932e-08,3.394832804992099e-08,1.396526871972578e-13,1.5053084239845148e-13,1.0614953408892958,1.352447167574315,0.2909518266850192
5.634150387159575e-08,3.399812890360268e-08,1.396865395699737e-13,1.5055455981604436e-13,1.0614506068283731,1.3523837304282098,0.29093312359983664
5.6328197240261875e-08,3.403243746533739e-08,1.396772259923424e-13,1.5062780440738577e-13,1.0614607863495602,1.3526658747150975,0.29120508836553727
5.615538758573491e-08,3.409092989047088e-08,1.3919872232282889e-13,1.5046259108687506e-13,1.0612089451541913,1.3506266929486512,0.28941774779446
5.622673301978054e-08,3.410097603682828e-08,1.3937458360353883e-13,1.5066657318030622e-13,1.0613371891185355,1.35161691089735,0.29027972177881434
5.6337560311277365e-08,3.3976146069051144e-08,1.3968529527774117e-13,1.5074149732513315e-13,1.0614458402586326,1.3527860598263328,0.29134021956770007
5.639471895396517e-08,3.408428567601672e-08,1.3983026897522501e-13,1.5126260718848663e-13,1.0615257914726646,1.3539179394822871,0.29239214800962265
5.63394268597895e-08,3.402610943380047e-08,1.396818841716867e-13,1.5072803586344462e-13,1.0614577767599525,1.3526450154500955,0.29118723869014307
5.63389870900647e-08,3.401992254167465e-08,1.3967560951626917e-13,1.5067164453093008e-13,1.0614941168024368,1.3528525656981585,0.2913584488957216
5.6347808390012834e-08,3.3811206352909564e-08,1.3967126598343265e-13,1.497537338448194e-13,1.0615372859036494,1.3512201303780726,0.2896828444744232
5.633802656387941e-08,3.401959198499708e-08,1.3968614177234285e-13,1.5062159535966977e-13,1.0614670045873138,1.3524473388765301,0.2909803342892163
5.63370143340056e-08,3.403296137049073e-08,1.396919207194491e-13,1.5068508247671953e-13,1.0614372398855387,1.3526036064187192,0.29116636653318045
5.63371887024701e-08,3.4007283996760125e-08,1.3968239081416466e-13,1.507236055489336e-13,1.0614734848772658,1.3527616148710069,0.29128812999374104
5.6324103046957546e-08,3.406957905995808e-08,1.3967758766492589e-13,1.5086542753560855e-13,1.0614533091316807,1.3533495845651604,0.2918962754334796
5.6338720734285857e-08,3.404076423315047e-08,1.396870611223417e-13,1.5070375827436577e-13,1.0614534748791764,1.3525843015551196,0.29113082667594314
5.634211902354948e-08,3.3958401907786846e-08,1.3968645391708858e-13,1.506619572346305e-13,1.0615069378485205,1.3526929516511967,0.29118601380267634
5.6330511893947604e-08,3.402224924422484e-08,1.396887205446755e-13,1.5051985286491535e-13,1.0615029544372445,1.3531147953634386,0.2916118409261941
5.633845946940567e-08,3.4023655064693445e-08,1.3967900993353614e-13,1.5067409989484423e-13,1.0614619200541788,1.3526118864253247,0.2911499663711458
5.6339917187260995e-08,3.4027175113387805e-08,1.3967788445788586e-13,1.5067578774926072e-13,1.061470754459305,1.352760292176784,0.2912895377174792
5.634102270688581e-08,3.401343722205526e-08,1.3966190011834435e-13,1.5084885861618233e-13,1.0615005783755498,1.3527105924610638,0.29121001408551406
5.6339394722039854e-08,3.404605099600392e-08,1.3967050857061203e-13,1.509874633029467e-13,1.0614665877279486,1.3529674652745012,0.29150087754655263
5.633344354511425e-08,3.402434269088136e-08,1.3969454048659538e-13,1.5060748920499533e-13,1.0614710965062502,1.3528607412533735,0.2913896447471233
5.633988757239635e-08,3.403820013743708e-08,1.3967833240506373e-13,1.5069249755049025e-13,1.0614810075363945,1.352699023402974,0.2912180158665797
5.633576976999082e-08,3.4022089018253855e-08,1.3968929916755097e-13,1.5079089037689352e-13,1.0614561503903235,1.3529926139456427,0.29153646355531926
5.633818113341778e-08,3.403735230110654e-08,1.3968308517173182e-13,1.5068962855717602e-13,1.061480932312917,1.3527037992916795,0.2912228669787624
5.634084289115939e-08,3.4062350283974813e-08,1.3967313035227903e-13,1.5087621432532565e-13,1.0614535615824172,1.352732486141523,0.29127892455910576
5.633985908685273e-08,3.400203909815175e-08,1.3967829756974537e-13,1.507019099284308e-13,1.0614588367941997,1.3527837795538031,0.29132494275960347
5.633532218707662e-08,3.3982664807535026e-08,1.3967704221229379e-13,1.5053351385334397e-13,1.0614635647301096,1.3523118789069688,0.29084831417685925
5.63385327301733e-08,3.404816537474571e-08,1.396794922039992e-13,1.5067112822090958e-13,1.0614701633005201,1.352624957267281,0.2911547939667608
5.6339431337784756e-08,3.4040602698346636e-08,1.396836838048671e-13,1.5072379766982061e-13,1.0614599487280965,1.3525942490696057,0.2911343003415092
5.633283385128688e-08,3.4065167763465105e-08,1.3969235890375846e-13,1.506709440624673e-13,1.0614509327978063,1.352811643917165,0.29136071111935863
5.633831028871063e-08,3.4004555100255315e-08,1.3968101662411765e-13,1.5070623931490709e-13,1.061459190420152,1.3527927640997872,0.29133357367963514
5.633398751554278e-08,3.408378464709339e-08,1.3970068007950244e-13,1.5100310214625713e-13,1.0614272360693415,1.3533578715661354,0.29193063549679393
5.6338611457258273e-08,3.404322199460619e-08,1.396837146227745e-13,1.5086100153008206e-13,1.0614626208618965,1.352946874088876,0.2914842532269795
5.63552953155485e-08,3.388599945846107e-08,1.396742397852259e-13,1.502959177019371e-13,1.0615171644662995,1.3518207967873817,0.29030363232108214
5.6332513565957093e-08,3.3975870467928665e-08,1.3967306294424792e-13,1.5042751872007393e-13,1.0614545602691936,1.3526815366235436,0.29122697635435
5.634717539859045e-08,3.4022585515726164e-08,1.3966345804056772e-13,1.509486510827196e-13,1.0614835439994776,1.352839677209534,0.2913561332100563
5.63396428452834e-08,3.4045354047930886e-08,1.3968273276933386e-13,1.507182361855003e-13,1.061459925112515,1.3525769161685866,0.2911169910560716
5.633798654841608e-08,3.4049984856392395e-08,1.3967775235996109e-13,1.5085040455635352e-13,1.0614746794391146,1.3529847527005532,0.2915100732614385
5.633641064866976e-08,3.402324561155497e-08,1.396843571919021e-13,1.5072688291596394e-13,1.0615057223056246,1.3527098001038595,0.2912040777982351
5.6339321736630917e-08,3.406511246009437e-08,1.39680843904563e-13,1.510180516954874e-13,1.0614707955813014,1.3530352068739488,0.29156441129264743
5.633844783792728e-08,3.403222240329604e-08,1.3968526139174815e-13,1.5062176877388808e-13,1.0614549492620489,1.352516827647913,0.29106187838586395
5.633803476552346e-08,3.401870245532617e-08,1.3968526490308024e-13,1.5065655513178567e-13,1.0614394398010627,1.352468128419237,0.2910286886181742
5.6234162751703384e-08,3.409103509699097e-08,1.3942121980312847e-13,1.5028584082788117e-13,1.0613369229864236,1.3513781260744324,0.2900412030880089
5.633782258693882e-08,3.400119924214959e-08,1.3968302136824617e-13,1.5069222052821477e-13,1.0614559579176523,1.3526062637035285,0.29115030578587614
5.633771299650913e-08,3.40516162310312e-08,1.3968665907095364e-13,1.5090124996781817e-13,1.0614759368045414,1.353093729634257,0.2916177928297155
5.633842463531252e-08,3.3999287535686944e-08,1.396738659671791e-13,1.5052053928624166e-13,1.061489151643587,1.3525673424976037,0.29107819085401676
5.6339966144981894e-08,3.401396982249735e-08,1.3968006796843663e-13,1.5059853449427493e-13,1.0614453156056505,1.35230617488538,0.29086085927972954
5.6329052052675766e-08,3.417909714956054e-08,1.3969569919170277e-13,1.5145254288800594e-13,1.0614167802394043,1.3541723122220606,0.29275553198265625
5.6340312428140745e-08,3.394808694464981e-08,1.3968201439655525e-13,1.5053213211472146e-13,1.061466744269386,1.352435001692561,0.2909682574231751
5.633915188909269e-08,3.4044140152850724e-08,1.3968432976830474e-13,1.5067282578874715e-13,1.0614615225418804,1.3526687026781843,0.2912071801363038
5.634110963553183e-08,3.397870899693295e-08,1.3965802565307134e-13,1.504328573033468e-13,1.0615116974428085,1.352492916518328,0.2909812190755194
5.6336842943400395e-08,3.4035578045420764e-08,1.3969287637264284e-13,1.5062060917407785e-13,1.0614524554828755,1.3526760159640916,0.29122356048121606
5.63394436299536e-08,3.4029388948130106e-08,1.3968344038141877e-13,1.5067759481176484e-13,1.0614577135048695,1.3526791881286129,0.29122147462374326
5.633841920108209e-08,3.39892598086744e-08,1.396889176305275e-13,1.5055390640999284e-13,1.0614615488927717,1.3525674580533598,0.2911059091605882
5.633367389992074e-08,3.411618000412195e-08,1.3968123860780007e-13,1.5117920792707836e-13,1.0614588340773423,1.3533367089965975,0.2918778749192553
5.616602494316089e-08,3.3956454697908346e-08,1.3918635472339456e-13,1.4946583167722522e-13,1.061297728774585,1.3494716411617986,0.28817391238721346
5.633670371680179e-08,3.403020827196366e-08,1.3968612141657876e-13,1.5065067389830655e-13,1.0614761058837656,1.3528579534634897,0.29138184757972413
5.633380989456693e-08,3.400864958218833e-08,1.3970227378949837e-13,1.505908551505239e-13,1.0614334941530188,1.3527984807747475,0.29136498662172866
5.6343469800020254e-08,3.3937954908560184e-08,1.3964371809018066e-13,1.5054196617666546e-13,1.061505385560584,1.35224118387028,0.2907357983096959
5.633569995387279e-08,3.401125516499859e-08,1.3968307662350298e-13,1.5057252684352215e-13,1.0614873347619491,1.3526094151545074,0.29112208039255816
5.6341745571049136e-08,3.401217534332754e-08,1.3967879901791655e-13,1.5075221841458044e-13,1.0614450920998157,1.3525861856058528,0.29114109350603706
5.633927037471249e-08,3.4048066467381136e-08,1.3968244822086632e-13,1.5069752513015737e-13,1.061473228026909,1.3526478809899258,0.2911746529630168
5.633923164386011e-08,3.406841603995524e-08,1.3968511341383716e-13,1.5086795781611783e-13,1.061451686736948,1.352709043335257,0.2912573565983091
5.633850886180992e-08,3.40173448150841e-08,1.396840796843551e-13,1.5071840168731486e-13,1.0614636007166969,1.3526921796437334,0.29122857892703663
5.634664358000902e-08,3.3924135915262126e-08,1.3966526450698424e-13,1.5045661713855333e-13,1.0614785085704985,1.3519996491177912,0.29052114054729267
5.633163028952757e-08,3.399040223332482e-08,1.3965507397890023e-13,1.5045246637466458e-13,1.061487271417737,1.3522700329574944,0.2907827615397573
5.633792015671818e-08,3.398710662483534e-08,1.3966978861585224e-13,1.504932854416141e-13,1.0614525979178586,1.3522567241175287,0.29080412619967005
5.6337055169272326e-08,3.40910895922098e-08,1.3969807550809524e-13,1.509141053844424e-13,1.0614566501162943,1.3532611160429555,0.2918044659266612
5.633893744998765e-08,3.3987617554937904e-08,1.3968565483814835e-13,1.5044040736886628e-13,1.061463126736805,1.3523097175214,0.2908465907845949
5.6329334638694945e-08,3.392181494219221e-08,1.3965587816086336e-13,1.504763249452357e-13,1.061519551987356,1.3526400153727023,0.2911204633853465
5.620761003635347e-08,3.3958888614999095e-08,1.392987381150235e-13,1.4992375948602893e-13,1.0613110627185534,1.3503406464572774,0.289029583738724
5.633693269286254e-08,3.394866797158686e-08,1.3965056281075322e-13,1.5043928759886849e-13,1.0614953108250087,1.3520753413580138,0.290580030533005
5.6327845969712296e-08,3.417650005827841e-08,1.3967088199317246e-13,1.5137126571551275e-13,1.0614195774215696,1.3536429858463477,0.29222340842477806
5.6338585624297014e-08,3.4117618007011354e-08,1.3968917451171263e-13,1.5104791764560706e-13,1.0614427927242778,1.3531385318155125,0.2916957390912347
5.6427480340465476e-08,3.415870422226079e-08,1.3998286856390773e-13,1.514021652374211e-13,1.0615681674918442,1.3554293849380152,0.2938612174461711
5.634073750082055e-08,3.403607550123986e-08,1.3967644990169744e-13,1.5099748168886715e-13,1.0614644763418115,1.353083941938304,0.29161946559649254
5.6338443795235655e-08,3.40085194610552e-08,1.396820565716893e-13,1.5062027426415317e-13,1.0614469646710905,1.352522651491969,0.2910756868208786
5.634042164731346e-08,3.403045030201326e-08,1.3968297368953408e-13,1.5071527615804744e-13,1.0614405402384277,1.352444690505021,0.2910041502665933
5.624199414635571e-08,3.403248502664708e-08,1.3944160631347907e-13,1.5004291509347802e-13,1.0613943225059603,1.3512288916333637,0.2898345691274034
5.6328975921322286e-08,3.4099522523684976e-08,1.3968418595050385e-13,1.5081035017103958e-13,1.061433544409526,1.353078730264262,0.291645185854736
5.633683887903334e-08,3.399055499032156e-08,1.3967661199028396e-13,1.5030460851041108e-13,1.0614560330234657,1.3523059791477907,0.29084994612432497
5.633951945107815e-08,3.4016005109497296e-08,1.3968650222347202e-13,1.5073398499941563e-13,1.06143383617678,1.3526014915028752,0.291167655326095
5.6337623610538305e-08,3.4012514291813497e-08,1.3968473692608307e-13,1.506568795272718e-13,1.0614537813937146,1.3525235770548276,0.291069795661113
5.6338650141821254e-08,3.403096325292713e-08,1.3968383788142786e-13,1.5070987648783006e-13,1.0614568588157707,1.3526306355798667,0.291173776764096
5.6337966444598773e-08,3.400967701335839e-08,1.3968470357450623e-13,1.5070810083897365e-13,1.0614569693547184,1.352734715239411,0.2912777458846924
5.634738104692583e-08,3.3959521617980565e-08,1.396688959634499e-13,1.5066833825092228e-13,1.061483272670658,1.3524702318425397,0.2909869591718818
