	EffectiveMass
0	1.1508183765411417
1	1.150773105621342
2	1.1509201717376747
3	1.1508946895599406
4	1.1508094787597698
5	1.1508938312530559
6	1.1508385944366497
7	1.1509204959869426
8	1.1508690929412884
9	1.1508272457122846
10	1.1509020042419476
11	1.1508162784576454
12	1.1508701610565224
13	1.150842285156254
14	1.1508958721160927
15	1.150919942855839
16	1.15087386131287
17	1.1508739471435585
18	1.1508952045440715
19	1.1509018611908
20	1.150836420059208
21	1.150872058868412
22	1.1507387065887487
23	1.150853919982914
24	1.1508002471923868
25	1.15084833145142
26	1.1508827877044718
27	1.150898790359501
28	1.150823431015019
29	1.1508589267730753
30	1.1509055995941202
31	1.1508687877655068
32	1.1509046840667765
33	1.150842275619511
34	1.150852165222172
35	1.1508229351043744
36	1.1508819675445598
37	1.1508140087127725
38	1.150785675048832
39	1.150829076766972
40	1.150864934921269
41	1.1508847427368205
42	1.1508651924133342
43	1.150842962265019
44	1.1509470462799112
45	1.150914325714115
46	1.1508416080474893
47	1.1508418941497844
48	1.1508248710632367
49	1.1508229446411176
50	1.1508729743957558
51	1.15076719284058
52	1.1508122730255168
53	1.1508968830108681
54	1.1508992767334023
55	1.1508211612701456
56	1.1508581829071083
57	1.150895366668705
58	1.150869722366337
59	1.1509071826934856
60	1.1508436298370401
61	1.150874137878422
62	1.1509152412414587
63	1.1508522129058878
64	1.1508833980560345
65	1.150848741531376
66	1.1507780838012733
67	1.1508445644378702
68	1.150886001586918
69	1.1509073543548622
70	1.1507522201538123
71	1.1508770275116007
72	1.1508646678924601
73	1.1508533191680945
74	1.150960350036625
75	1.1508319950103798
76	1.150869722366337
77	1.1508206367492715
78	1.1508362674713173
79	1.1508339977264443
80	1.1508361911773721
81	1.1508429336547894
82	1.150906105041508
83	1.1507492637634313
84	1.1509495735168493
85	1.1509297084808388
86	1.1509393310546914
87	1.1508861351013224
88	1.1508617305755655
89	1.1508866691589397
90	1.1508910560607948
91	1.150849370956425
92	1.1508683967590372
93	1.1508189582824748
94	1.150944709777836
95	1.150880708694462
96	1.150898084640507
97	1.1508493041992227
98	1.1508619117736858
99	1.1509028816223186
100	1.150827045440678
101	1.1509752464294474
102	1.1508341217041056
103	1.1507960414886516
104	1.1508501625061074
105	1.1509004306793253
106	1.1508512496948282
107	1.1508692169189492
108	1.150756750106815
109	1.150847463607792
110	1.1509039592742962
111	1.1508306503295938
112	1.1508682632446328
113	1.150861349105839
114	1.1508990764617961
115	1.1508219432830853
116	1.1508260345459025
117	1.150860986709599
118	1.1508052635192914
119	1.1508136463165324
120	1.150791187286381
121	1.1509147548675576
122	1.1508435058593791
123	1.1509154701232949
124	1.1509001731872597
125	1.150819625854496
126	1.1508429527282757
127	1.150882635116581
128	1.1508483219146768
129	1.150926933288578
130	1.150736913681034
131	1.150952329635624
132	1.1508652114868205
133	1.1508164882659953
134	1.1509160423278848
135	1.1508803749084513
136	1.150880661010746
137	1.1509799289703408
138	1.1508536052703897
139	1.1509160995483438
140	1.1508761501312295
141	1.1508345222473184
142	1.1509379768371621
143	1.150836992263798
144	1.1508829402923626
145	1.1509228897094768
146	1.150820255279545
147	1.1508932304382364
148	1.150840196609501
149	1.150886573791508
150	1.150907802581791
151	1.1509423923492472
152	1.1508588886261026
153	1.1508245277404825
154	1.1507796764373819
155	1.150890817642216
156	1.1508675575256389
157	1.1508436870574992
158	1.1508806324005165
159	1.1508257770538373
160	1.1508287811279336
161	1.1509028148651164
162	1.1508440017700234
163	1.15080082893372
164	1.150869312286381
165	1.1509461402893106
166	1.1508171558380165
167	1.1508426475524942
168	1.1508815574646039
169	1.1509004402160685
170	1.150963659286503
171	1.1508316135406533
172	1.1509091949462928
173	1.1508813762664836
174	1.1508319759368935
175	1.1508423805236858
176	1.1509115505218543
177	1.1508360481262248
178	1.1508824253082317
179	1.1509147548675576
180	1.150880718231205
181	1.1508767890930214
182	1.1509270095825235
183	1.1508809566497844
184	1.150965003967289
185	1.150888080596928
186	1.1508840465545698
187	1.150873203277592
188	1.1509041690826456
189	1.1509072685241741
190	1.1508472061157269
191	1.1508868122100873
192	1.1508979034423867
193	1.1508067321777387
194	1.1508665370941202
195	1.1509243297576945
196	1.1507841587066687
197	1.1508961772918742
198	1.150775489807133
199	1.151017494201664
200	1.150817766189579
201	1.150886468887333
202	1.1509404277801554
203	1.1508096408844035
204	1.150895586013798
205	1.150845699310307
206	1.150847463607792
207	1.1508393001556436
208	1.1510153770446814
209	1.150831003189091
210	1.1508151912689246
211	1.1508422946929973
212	1.1508887195587196
213	1.1508867168426555
214	1.1508537101745646
215	1.1508791732788128
216	1.1509157371521037
217	1.1508654403686567
218	1.1508413410186809
219	1.1508853340148968
220	1.150875949859623
221	1.1508604431152385
222	1.1509125041961707
223	1.1507757282257118
224	1.1508671474456829
225	1.1508340167999307
226	1.1508465003967325
227	1.150925941467289
