index value uncertainty
0 2.2520149114e+00 1.8049239051e-03
1 8.3449489481e-01 1.6968489167e-03
2 8.5661336064e-01 1.2652915329e-03
3 8.7619726208e-01 1.5621109516e-03
4 8.9503581145e-01 1.8956556529e-03
5 9.1464527680e-01 2.1783771062e-03
6 9.3401436359e-01 2.6283732525e-03
7 2.6793210474e+00 1.5298414377e-02
8 1.1092683369e+00 3.8089589646e-02
9 1.1748349669e+00 3.2012408488e-02
10 1.1783051943e+00 2.5596057954e-02
11 1.1820253475e+00 2.3327014190e-02
12 1.2092383318e+00 2.2389944694e-02
13 1.2237045812e+00 2.2721138076e-02
14 4.2700000000e-01 1.6000000000e-02
15 2.7500000000e-01 3.7000000000e-02
16 3.1800000000e-01 3.1000000000e-02
17 3.0200000000e-01 2.4000000000e-02
18 2.8700000000e-01 2.2000000000e-02
19 2.9500000000e-01 2.1000000000e-02
20 2.9000000000e-01 2.1000000000e-02
