index value uncertainty
0 2.2509956623e+00 8.7062892087e-04
1 9.1130975339e-01 8.4698557643e-04
2 9.2974988876e-01 9.2620271660e-04
3 9.4831787270e-01 1.2051829519e-03
4 9.6596928940e-01 1.2800889545e-03
5 9.8244502994e-01 1.6234379991e-03
6 9.9956820562e-01 1.9226003769e-03
7 2.6497932273e+00 1.3017026666e-02
8 1.2311284248e+00 2.9662233797e-02
9 1.2421263117e+00 2.0624685992e-02
10 1.2663631512e+00 2.2487791212e-02
11 1.2776085541e+00 1.6512638292e-02
12 1.2874788843e+00 1.5708562704e-02
13 1.3045143593e+00 1.5092872395e-02
14 3.9900000000e-01 1.3000000000e-02
15 3.2000000000e-01 2.9000000000e-02
16 3.1200000000e-01 2.0000000000e-02
17 3.1800000000e-01 2.2000000000e-02
18 3.1200000000e-01 1.6000000000e-02
19 3.0500000000e-01 1.4000000000e-02
20 3.0500000000e-01 1.4000000000e-02
