index value uncertainty
0 2.2520149114e+00 1.8049239051e-03
1 9.1224036300e-01 1.5367574047e-03
2 9.3222705107e-01 1.3231573422e-03
3 9.4952354883e-01 1.6585438461e-03
4 9.6714608519e-01 1.7820769157e-03
5 9.8428410083e-01 2.0574335815e-03
6 1.0012705882e+00 2.3965656294e-03
7 2.6793210474e+00 1.5298414377e-02
8 1.1893852527e+00 4.3711055434e-02
9 1.2416770944e+00 2.9096351082e-02
10 1.2555760242e+00 2.7112963976e-02
11 1.2695117477e+00 2.3667894085e-02
12 1.2828823487e+00 2.1225842802e-02
13 1.2962540226e+00 2.0191734154e-02
14 4.2700000000e-01 1.6000000000e-02
15 2.7700000000e-01 4.2000000000e-02
16 3.0900000000e-01 2.8000000000e-02
17 3.0600000000e-01 2.6000000000e-02
18 3.0200000000e-01 2.2000000000e-02
19 2.9900000000e-01 2.0000000000e-02
20 2.9500000000e-01 1.8000000000e-02
