index value uncertainty
0 3.0077795989e+00 1.0570972101e-03
1 1.0409389362e+00 1.4233940763e-03
2 1.0670250357e+00 1.6923523018e-03
3 1.0923747661e+00 2.1220656470e-03
4 1.1178664372e+00 2.7854934351e-03
5 1.1398073214e+00 3.3423879652e-03
6 1.1639781130e+00 4.4335192439e-03
7 3.4678143008e+00 1.6231906072e-02
8 1.3898651946e+00 6.5419852430e-02
9 1.3711508479e+00 4.2238352049e-02
10 1.3792913878e+00 3.2264722838e-02
11 1.4113829022e+00 3.4039693366e-02
12 1.4221524479e+00 2.9677973593e-02
13 1.4466345538e+00 3.5255794427e-02
14 4.6000000000e-01 1.6000000000e-02
15 3.4900000000e-01 6.4000000000e-02
16 3.0400000000e-01 4.1000000000e-02
17 2.8700000000e-01 3.1000000000e-02
18 2.9400000000e-01 3.2000000000e-02
19 2.8200000000e-01 2.7000000000e-02
20 2.8300000000e-01 3.2000000000e-02
