index value uncertainty
0 3.0077795989e+00 1.0570972101e-03
1 1.1015523340e+00 1.6321579102e-03
2 1.1256859017e+00 1.8256548470e-03
3 1.1490418682e+00 2.3339904223e-03
4 1.1724172065e+00 2.8361375835e-03
5 1.1930985926e+00 3.3680721838e-03
6 1.2154400006e+00 3.8809626367e-03
7 3.4678143008e+00 1.6231906072e-02
8 1.4084203576e+00 6.4114924594e-02
9 1.4122170503e+00 4.2691001695e-02
10 1.4259839150e+00 3.5876161697e-02
11 1.4508043090e+00 3.3171108831e-02
12 1.4756830989e+00 2.9669223035e-02
13 1.4990001561e+00 2.7845364368e-02
14 4.6000000000e-01 1.6000000000e-02
15 3.0700000000e-01 6.3000000000e-02
16 2.8700000000e-01 4.1000000000e-02
17 2.7700000000e-01 3.4000000000e-02
18 2.7800000000e-01 3.1000000000e-02
19 2.8300000000e-01 2.7000000000e-02
20 2.8400000000e-01 2.5000000000e-02
