index value uncertainty
0 2.2491698099e+00 1.9367819618e-03
1 8.3043561119e-01 1.2046822745e-03
2 8.5165884830e-01 1.4057525229e-03
3 8.7363919687e-01 1.7207052475e-03
4 8.9234338529e-01 1.7998035707e-03
5 9.1276780831e-01 2.0637330747e-03
6 9.3151537355e-01 2.3961530575e-03
7 2.6712152052e+00 1.3425135467e-02
8 1.1179283246e+00 2.9466772713e-02
9 1.1529553083e+00 2.6997172688e-02
10 1.1970768387e+00 2.7723754033e-02
11 1.2004083874e+00 2.1567347956e-02
12 1.2298494986e+00 2.1621959701e-02
13 1.2458324415e+00 2.0305259230e-02
14 4.2200000000e-01 1.3000000000e-02
15 2.8700000000e-01 2.9000000000e-02
16 3.0100000000e-01 2.6000000000e-02
17 3.2300000000e-01 2.6000000000e-02
18 3.0800000000e-01 2.0000000000e-02
19 3.1700000000e-01 2.0000000000e-02
20 3.1400000000e-01 1.8000000000e-02
