index value uncertainty
0 1.9248236899e+00 7.9184919555e-04
1 7.7125531367e-01 1.1359490274e-03
2 7.8122967906e-01 1.0526440158e-03
3 7.9096614906e-01 1.1900812029e-03
4 8.0184414447e-01 1.3675443680e-03
5 8.1089723223e-01 1.4266328360e-03
6 8.2068589098e-01 1.6001269833e-03
7 2.2960170995e+00 8.9662487302e-03
8 1.0465573412e+00 1.9499215543e-02
9 1.0368956432e+00 1.3336991636e-02
10 1.0560717552e+00 1.1774173183e-02
11 1.0788992037e+00 1.3978382123e-02
12 1.0812000926e+00 1.1443270760e-02
13 1.0819444518e+00 1.0233511906e-02
14 3.7120000000e-01 8.9000000000e-03
15 2.7500000000e-01 1.9000000000e-02
16 2.5600000000e-01 1.3000000000e-02
17 2.6500000000e-01 1.1000000000e-02
18 2.7700000000e-01 1.3000000000e-02
19 2.7000000000e-01 1.0000000000e-02
20 2.6130000000e-01 9.1000000000e-03
