index value uncertainty
0 3.0141143842e+00 2.4581469983e-03
1 9.8325630693e-01 1.2057159814e-03
2 1.0121706118e+00 1.4528907454e-03
3 1.0392435847e+00 1.8344355965e-03
4 1.0656801407e+00 2.2679150066e-03
5 1.0888707979e+00 3.0139728774e-03
6 1.1144238165e+00 3.3745845754e-03
7 3.5675547065e+00 1.0266861678e-02
8 1.4225788005e+00 6.1093331131e-02
9 1.4062889887e+00 4.5977046441e-02
10 1.3942945616e+00 3.6472932060e-02
11 1.4060443298e+00 3.1289850035e-02
12 1.4067402593e+00 2.8535703136e-02
13 1.4354705941e+00 2.6998043234e-02
14 5.5340000000e-01 8.9000000000e-03
15 4.3900000000e-01 6.0000000000e-02
16 3.9400000000e-01 4.5000000000e-02
17 3.5500000000e-01 3.5000000000e-02
18 3.4000000000e-01 3.0000000000e-02
19 3.1800000000e-01 2.6000000000e-02
20 3.2100000000e-01 2.5000000000e-02
