index value uncertainty
0 2.2509956623e+00 8.7062892087e-04
1 8.3359987118e-01 7.9678844032e-04
2 8.5451359940e-01 1.6278622158e-03
3 8.7438332353e-01 1.1740302153e-03
4 8.9448694153e-01 1.2918199642e-03
5 9.1317904971e-01 1.6516131275e-03
6 9.3223762509e-01 1.9697968296e-03
7 2.6497932273e+00 1.3017026666e-02
8 1.1478242666e+00 2.3465139819e-02
9 1.1695943866e+00 2.3357061733e-02
10 1.1797712528e+00 1.9875827908e-02
11 1.2055757936e+00 1.6661224636e-02
12 1.2181891747e+00 1.5885415336e-02
13 1.2392978919e+00 1.5877265287e-02
14 3.9900000000e-01 1.3000000000e-02
15 3.1400000000e-01 2.3000000000e-02
16 3.1500000000e-01 2.2000000000e-02
17 3.0500000000e-01 1.9000000000e-02
18 3.1100000000e-01 1.6000000000e-02
19 3.0500000000e-01 1.5000000000e-02
20 3.0700000000e-01 1.4000000000e-02
