index value uncertainty
0 2.2491698099e+00 1.9367819618e-03
1 9.0852176912e-01 1.2240108291e-03
2 9.2766907560e-01 1.4022935405e-03
3 9.4616455844e-01 1.5253204293e-03
4 9.6413682278e-01 1.7720345394e-03
5 9.8302964314e-01 1.9681309973e-03
6 9.9953871623e-01 2.2481171816e-03
7 2.6712152052e+00 1.3425135467e-02
8 1.1970252831e+00 3.3187617092e-02
9 1.2334106468e+00 2.9251867412e-02
10 1.2554975557e+00 2.4363088029e-02
11 1.2738500265e+00 2.3458015528e-02
12 1.3061583001e+00 2.3452353670e-02
13 1.3160281138e+00 1.9579114624e-02
14 4.2200000000e-01 1.3000000000e-02
15 2.8900000000e-01 3.2000000000e-02
16 3.0600000000e-01 2.8000000000e-02
17 3.0900000000e-01 2.3000000000e-02
18 3.1000000000e-01 2.2000000000e-02
19 3.2300000000e-01 2.2000000000e-02
20 3.1600000000e-01 1.8000000000e-02
