index value uncertainty
0 1.9248236899e+00 7.9184919555e-04
1 7.4863394892e-01 1.0293824616e-03
2 7.5965726407e-01 1.0140965300e-03
3 7.7016026332e-01 1.2148625839e-03
4 7.8098421748e-01 1.2918090259e-03
5 7.9099162021e-01 1.5242349663e-03
6 7.9982818145e-01 1.5198583287e-03
7 2.2960170995e+00 8.9662487302e-03
8 1.0037732900e+00 1.3560637298e-02
9 1.0170492381e+00 1.1016772748e-02
10 1.0369199587e+00 1.2752073047e-02
11 1.0506168733e+00 1.0610956972e-02
12 1.0638502596e+00 1.2716205872e-02
13 1.0574103436e+00 8.8396782515e-03
14 3.7120000000e-01 8.9000000000e-03
15 2.5500000000e-01 1.3000000000e-02
16 2.5700000000e-01 1.0000000000e-02
17 2.6700000000e-01 1.2000000000e-02
18 2.6960000000e-01 9.7000000000e-03
19 2.7300000000e-01 1.2000000000e-02
20 2.5760000000e-01 7.8000000000e-03
