index value uncertainty
0 3.0077795989e+00 1.0570972101e-03
1 9.7664462311e-01 1.3273580557e-03
2 1.0059220171e+00 1.7468729551e-03
3 1.0339179659e+00 2.0847082166e-03
4 1.0613093208e+00 3.6349462714e-03
5 1.0868321977e+00 3.5800895094e-03
6 1.1113303800e+00 5.2361910931e-03
7 3.4678143008e+00 1.6231906072e-02
8 1.3282267652e+00 5.7373427764e-02
9 1.3296861960e+00 4.4908006547e-02
10 1.3419169326e+00 3.7392671008e-02
11 1.3625168129e+00 6.1002487448e-02
12 1.3947789657e+00 3.7398175233e-02
13 1.4076049956e+00 4.0117533596e-02
14 4.6000000000e-01 1.6000000000e-02
15 3.5200000000e-01 5.6000000000e-02
16 3.2400000000e-01 4.4000000000e-02
17 3.0800000000e-01 3.6000000000e-02
18 3.0100000000e-01 5.8000000000e-02
19 3.0800000000e-01 3.4000000000e-02
20 2.9600000000e-01 3.6000000000e-02
