# Excited combined fit results
# ensemble: F1S
# cmass: 0.259
# FF: V
# use_disp: True
# frozen: True
# reg_low: 8
# reg_up: 20
# chi2: 103.29925067999068
# ndof: 45
# chi2/dof: 2.295538903999793
# pvalue: 1.7672249272848717e-06
nsq	O00	dO00	O01	dO01	O10	dO10
1	0.7867502808264228	0.004042509320410716	-0.7994392803026237	0.04993279675073917	1.802061090886754	0.07290972856454957
2	0.7658141552485445	0.003709615579806121	-0.7361463999394172	0.060095801004416	1.8116520827523706	0.07596853805823181
3	0.7450834674846588	0.004491349152791286	-0.7000572326915359	0.04216113695988646	1.8156375778823648	0.10601736428448542
4	0.7269489774414384	0.004509989577406525	-0.6577141819240333	0.039148949609571944	1.9489837332450408	0.07394108319337143
5	0.7087403264766001	0.005952023283585684	-0.7094951820359144	0.03438343985996838	1.7184656635132864	0.11881610627028222
