jackknife_index	O00_1	O00_2	O00_3	O00_4	O00_5	O01_1	O01_2	O01_3	O01_4	O01_5	O10_1	O10_2	O10_3	O10_4	O10_5
10	0.473407156058286	0.4708656573927935	0.4711867702107117	0.4248876521071156	0.4741024412569309	-0.18963173515414677	-0.22968746643098534	-0.28423863031755203	-0.12237409632051248	-0.3143429253183503	1.418790788131411	0.8850121446942477	0.7978782398370681	2.4241882076458117	0.6367532476980273
11	0.4731356048099689	0.47054982818075314	0.4705858534115965	0.4249481189985036	0.4730100362495365	-0.1872165605734887	-0.22856703087783975	-0.2819190641796165	-0.12075730996011294	-0.31086202841601485	1.4125359737355403	0.8889898273429162	0.8150908215571918	2.4166851980211796	0.6776413719521905
12	0.4734737545538189	0.4709064393507768	0.4707870781237839	0.4245135694201513	0.4736167579699713	-0.1846315289367554	-0.2272814526709099	-0.2804569695413821	-0.1178178642455164	-0.3104206850774265	1.4009693550659468	0.8774237704754463	0.8131785515247122	2.435530984881235	0.6690379653526697
13	0.47231035710135433	0.46967124787233216	0.46990536340651384	0.42319861418361804	0.4718964353178829	-0.19519694116895286	-0.23476298470904078	-0.28596953506280787	-0.1251974737180672	-0.3150413852226061	1.4367473910843707	0.9206634281446001	0.8503503499272539	2.432202600754833	0.7036145662035732
14	0.4724611028659636	0.46950767918123354	0.46912230851844094	0.42284419225463293	0.47090448929505285	-0.1763299007929877	-0.22126339660989153	-0.27490910742050945	-0.11433187854872917	-0.3039349747541759	1.4363983369411784	0.9126881406518754	0.842225216037846	2.502027449215313	0.721732078479754
15	0.47315184383070147	0.47052935410525926	0.4703215385923466	0.4241893794086488	0.47226340687716223	-0.18617224487114628	-0.22860774694965935	-0.28085124692477675	-0.11930897057064495	-0.3085569335019029	1.3917829827086925	0.8635571597193599	0.7956969540814346	2.378599260002535	0.6495167062514748
16	0.472893586544699	0.470160456508519	0.4700306844803961	0.4237527550798379	0.47152251762341274	-0.1885258120956675	-0.23023733304318922	-0.2839127680818094	-0.12278637168740254	-0.3134209770309391	1.4196463717821823	0.8922037902226447	0.8097385533554755	2.3907572458145423	0.6515249177167985
17	0.4724200568998515	0.4701025661136965	0.4705519581935821	0.4242499615739823	0.47347849729604735	-0.1865810766952312	-0.22789467067211924	-0.28216396591810605	-0.12023960297632337	-0.31015581509059525	1.4424532383752382	0.9096687508741206	0.8258862532964952	2.448674266077801	0.6836284740237885
18	0.4742907149138413	0.47191842191408717	0.47234413184251983	0.42690451446239003	0.47565245685053914	-0.2113045692161324	-0.24544027816296862	-0.29661054687042565	-0.13120922896260523	-0.3207478356422653	1.3828552445340891	0.8384400491684333	0.741401970548171	2.3647471855781497	0.5753149362150851
19	0.4732206782369958	0.470953892720978	0.471370171487124	0.42477554709576615	0.4737532006055337	-0.19699645011684322	-0.23573187645408256	-0.2876115385098219	-0.1256993379583808	-0.31410526364118	1.3838533509410138	0.841350859138388	0.759823829328565	2.3677622656994877	0.5738796138167521
20	0.4734091711630573	0.4710224756383054	0.4709202317538851	0.4252085909552383	0.47403247116710034	-0.18427015685442039	-0.22910200900005248	-0.2827369681639194	-0.1218643330142836	-0.31265007924851734	1.4137817634224612	0.8808721037173274	0.8028058942866191	2.4344342030752744	0.6579945790053154
21	0.4732283916567615	0.47077789450516905	0.470989822762837	0.4252602879422663	0.4738155318701132	-0.1819988991646683	-0.22616220311395324	-0.27949203817757706	-0.12153972152764374	-0.30828005474138603	1.388513953299264	0.864931871831572	0.7959201069636541	2.3778089657793022	0.6365574146618755
22	0.47280864987272975	0.47006059893432983	0.46965583080659284	0.4238733565670078	0.4720591581519998	-0.19285786688923237	-0.22919076606657596	-0.2783086815804829	-0.11918610009776434	-0.3072795558626854	1.4063823232676875	0.890567294519454	0.8299882063627151	2.411178038362725	0.6764620541204532
23	0.4722494932154552	0.4696813962949124	0.4699989132848908	0.42361012247263163	0.47247263500037023	-0.17879595101078838	-0.22313386488267076	-0.2786596502039218	-0.1185780945882912	-0.3083011221887538	1.442574466150234	0.9119147746009888	0.8290033292343869	2.453191144953866	0.6909083485271321
24	0.4732812412784349	0.470486253858224	0.4703100458530499	0.424896261084276	0.47206816996293044	-0.179371112344642	-0.2225169612702873	-0.27687929735092365	-0.12040153738961591	-0.30571028601759076	1.4115608908346224	0.8854016281234082	0.811185324860882	2.4066306786979172	0.6849043223536376
25	0.47345553132071583	0.4706466052713914	0.4703135607334475	0.42497778159193084	0.47328272973569224	-0.1861978701085746	-0.22713292613286182	-0.2794995884659182	-0.12098364514612221	-0.3106312516246748	1.4023427737320167	0.8817429333619968	0.8205644607745969	2.379210956344725	0.6372691423223911
