jackknife_index	O00_1	O00_2	O00_3	O00_4	O00_5	O01_1	O01_2	O01_3	O01_4	O01_5	O10_1	O10_2	O10_3	O10_4	O10_5
0	0.1776651312249432	0.16967525580414056	0.16437447609566425	0.17570825062443785	0.16560339528145637	0.04664245954822743	0.010921024641481744	-0.01285247369704133	-0.028440034667192318	-0.03494069534250081	0.6466696588235801	0.5254527063995127	0.3264556064363464	0.03575634834528474	0.1958141002248266
1	0.17797605958240725	0.1700599763685644	0.1647998574793959	0.1764302492135128	0.1661661302676567	0.04530126727443781	0.009807282619147095	-0.013814148467158699	-0.029782649773801753	-0.03590455570785553	0.6375336891289656	0.5175223322112259	0.32221993015613126	0.0391072544755775	0.20770011384450449
2	0.17780970526290912	0.16986031304121152	0.16447825499435478	0.17624512993754116	0.16594372601159363	0.047530701285236676	0.01139005857250612	-0.01241952970185177	-0.02876574912425052	-0.03517839896148983	0.652301194413037	0.533196742103135	0.34037831033707544	0.04595783651443419	0.21434539763324878
3	0.17764888538012572	0.16962078472904582	0.1643257785064213	0.175606462153228	0.1654365493763506	0.0478291837807667	0.011700797761278067	-0.012391387560382425	-0.028369542280819227	-0.03481903597410646	0.6635921162147007	0.5466851862476962	0.34465089420853934	0.07975804330065661	0.2400986269270724
4	0.17830220496174207	0.1704382577925673	0.1651913018402994	0.17743346191994508	0.16688909861533563	0.047787873498209954	0.011379833870902939	-0.01267268324401187	-0.029705112842690493	-0.035668088173807025	0.6081348177062085	0.4865972539850896	0.286423265979709	-0.031831978277452766	0.15275528087656065
5	0.17776520863346035	0.16980715736057758	0.164553509587251	0.1762148163595017	0.16585425257503095	0.047036184066170134	0.010998621961074609	-0.012978130117302436	-0.029330387214815623	-0.03533913828269134	0.6527003105281841	0.531740211899092	0.33155886498174714	0.05497578402332023	0.2150496014031063
6	0.1775176822261751	0.16943291865809895	0.16407997816056386	0.17551380365453667	0.1651061978759732	0.04859840393330528	0.01211779298778258	-0.011893975425239539	-0.02802859509278277	-0.03412600838024941	0.6772924613817222	0.5643747358697699	0.3755470394479108	0.05322730800856079	0.24989843541185408
7	0.1777090037398221	0.16973811849645137	0.16442605561050444	0.17591798623835736	0.16575914496421812	0.04775021984564065	0.011364459273987423	-0.01271075413570144	-0.028427510894894953	-0.03509983197634774	0.6501406523657491	0.5339527220519957	0.3383468538418517	0.0729616118768448	0.22532007014860422
8	0.17785288847975822	0.16990911474559323	0.1646212824117905	0.1761687244408487	0.16604256894640507	0.04605716535600701	0.010282532608843653	-0.013488936990043901	-0.029449422312509105	-0.03598418445747441	0.6377196563664451	0.5211555799441707	0.3220549057875719	0.041095766422567515	0.2052049433318266
9	0.17772771275485788	0.16977328143654435	0.1644800151886896	0.17598767075456367	0.16577742101613208	0.046505811190850566	0.010836133305669987	-0.01290962330302664	-0.02887187742369489	-0.03514383080672259	0.6490032610484255	0.5292763303039021	0.33193658629529277	0.0539439136151032	0.21442083727494032
