jackknife_index	O00_0	O00_1	O00_2	O00_4	O00_5	O01_0	O01_1	O01_2	O01_4	O01_5	O10_0	O10_1	O10_2	O10_4	O10_5
0	0.29271623863337337	0.28828374612795543	0.2868211383328643	0.2966762481677288	0.29680862058831253	0.0071794233882084306	-0.04268831171636813	-0.06893739189210277	-0.12489572123140469	-0.12383138771458184	0.18777893824515593	0.0981445570076555	0.08928078963627467	0.2757501544936686	0.5984934911594929
1	0.2929395051433505	0.2885977659627735	0.28722690171391035	0.29735732067887294	0.29750952864056296	0.010379090104347299	-0.04151523941128219	-0.06848945591106896	-0.12494835701895665	-0.12396800750182055	0.18191623290405942	0.09182449146415969	0.08254725973909359	0.2658416884719874	0.5847012328473253
2	0.2930462124013269	0.28876075269497303	0.2874508614450394	0.2973064267791199	0.2977112337148479	0.004974711596019506	-0.043674834405205185	-0.07027024510633836	-0.12541405118938015	-0.1252098096374212	0.17891697810233473	0.08594660485068571	0.07407507326823365	0.2645232368668258	0.5799664644546374
3	0.2929227716746748	0.2885604300802713	0.28718947829222785	0.29697715620695714	0.29727040041520536	0.0030273080787176694	-0.04481322421408042	-0.07118773924784905	-0.12645635626246363	-0.12581398925432297	0.17710802782880497	0.08681272028730391	0.07578433114213609	0.2675277718446665	0.5806736371171441
4	0.2932375721718978	0.2890255447277369	0.2877139851029762	0.2986431997590313	0.2981959539311409	0.016648820434181852	-0.039462299091758225	-0.06733014924943795	-0.12578762252313097	-0.12421164631492126	0.17737549601670935	0.08578454698658639	0.07616068681776061	0.25815755017875386	0.5787686427562153
5	0.2929016395064228	0.28858848457912595	0.2872738092301	0.29707740658284004	0.29735100778026785	0.004817305693934796	-0.044169811537262786	-0.07054008137878906	-0.12541925438994048	-0.12466454794233144	0.18053250393541526	0.08952845549351855	0.08041032644871222	0.27108369899205503	0.5937537980863401
6	0.2929622407516981	0.28853133681469745	0.2871767535203308	0.2964303377074896	0.29711115617344813	-0.005577446816961096	-0.04807703625671202	-0.07342136971850285	-0.12656398839131527	-0.12668231740934133	0.17869011468960977	0.08515429832216062	0.07147537362345449	0.26714729520285774	0.5731759421823155
7	0.29265188405004955	0.28828634467239056	0.2868933639587096	0.2968685754186067	0.2970544091192251	0.007302859926108535	-0.04305144030621071	-0.06981985145901738	-0.12550459382667065	-0.12490369593584791	0.18326362195043994	0.09462167764312776	0.08695538243906177	0.2652314751839998	0.5889351111682919
8	0.2928839844598429	0.288589765826118	0.2871516235939032	0.2972377094100742	0.2971681400748619	0.008037649591488052	-0.043268539357639774	-0.06973160613750083	-0.12572285551285053	-0.12434551956578521	0.17858400330412083	0.08929220678815322	0.08158293378429214	0.2755024400818301	0.5923395394070351
9	0.29272405178814564	0.2884406656218411	0.2871096601266588	0.2970899631567762	0.29734079833021837	0.008316207562439844	-0.042894713624069214	-0.06965187088855432	-0.12569108061187648	-0.12465459060082786	0.18224110731375776	0.09038271317764487	0.07917860665259635	0.26566190755099595	0.581992158700616
