	Correlator	Error
0	1.520120494020595e-13	1.742159702012315e-15
1	1.5938969607144929e-12	1.28047837064054e-14
2	1.5751670240591934e-13	1.21849226360589e-15
3	1.7285138373368652e-14	1.3114915009157534e-16
4	1.8401241997347282e-15	1.385125973004918e-17
5	1.953123214448524e-16	1.4638775160810784e-18
6	2.0629453022086228e-17	1.548045148859027e-19
7	2.1739161681052054e-18	1.6450808102339836e-20
8	2.290150312024777e-19	1.7540102150558114e-21
9	2.4103200275007894e-20	1.885205703366212e-22
10	2.537696028658873e-21	2.0344984390673107e-23
11	2.6698388352261254e-22	2.195403348179414e-24
12	2.8069130321398383e-23	2.3829905000092786e-25
13	2.9509372870847316e-24	2.5880433207718833e-26
14	3.102810602151293e-25	2.8164200640722897e-27
15	3.2620408605347214e-26	3.1050245696791667e-28
16	3.4259782070835325e-27	3.42599938377152e-29
17	3.5939245862406876e-28	3.764578877494234e-30
18	3.772288132596314e-29	4.152383891317069e-31
19	3.96712416889865e-30	4.6512109390405364e-32
20	4.176728419500814e-31	5.301560158306566e-33
21	4.4040961216915047e-32	6.039570951110304e-34
22	4.63869036495768e-33	6.913002362217134e-35
23	4.891965137375117e-34	7.94178045714811e-36
24	5.142737809501499e-35	9.055732446559583e-37
25	5.413414900537739e-36	1.0420467216037517e-37
26	5.689471860630004e-37	1.2037327077627659e-38
27	5.968857836361487e-38	1.4042279580812448e-39
28	6.242217091893873e-39	1.6487131480738576e-40
29	6.523916782158096e-40	1.9384074509468183e-41
30	6.811004342070703e-41	2.2827345564294437e-42
31	7.221911098943277e-42	2.80347800437993e-43
32	1.503817066831116e-42	6.880478474704622e-44
