	Correlator	Error
0	3.4116551223662995e-15	1.3353080170474866e-16
1	8.60810998242898e-14	6.660006276745735e-16
2	2.723455460131349e-14	2.0201474479982562e-16
3	1.2059406422888891e-14	8.827074685181926e-17
4	5.2972765499426315e-15	3.887359676732082e-17
5	2.375358995368073e-15	1.6955547346575428e-17
6	1.0723073887108042e-15	7.722138068260353e-18
7	4.869053157206863e-16	3.557143053253123e-18
8	2.2196132599969016e-16	1.6753259739773327e-18
9	1.0143127594020543e-16	7.818567907769716e-19
10	4.64762652387312e-17	3.7394330102734994e-19
11	2.134409749723698e-17	1.7915840453148793e-19
12	9.814966605853449e-18	8.661146008727885e-20
13	4.520365443863623e-18	4.136421053551457e-20
14	2.0830723132414266e-18	1.992180204039482e-20
15	9.607744035480404e-19	9.58704954258372e-21
16	4.431271078208259e-19	4.636812612522239e-21
17	2.0445831596408794e-19	2.2319164597554063e-21
18	9.438868195257694e-20	1.0817723272441495e-21
19	4.361323620513126e-20	5.2626312125844575e-22
20	2.0167940888281137e-20	2.5620353203362234e-22
21	9.328977856066326e-21	1.250717194404167e-22
22	4.317410252633081e-21	6.07770378404108e-23
23	1.9982658416884335e-21	2.941599860161552e-23
24	9.244617248494767e-22	1.432792283004964e-23
25	4.2786252741679535e-22	6.98279571062467e-24
26	1.9826234520425034e-22	3.398185586515198e-24
27	9.189689425018222e-23	1.654834372441959e-24
28	4.252696897065985e-23	8.0534429998767825e-25
29	1.9682649716697564e-23	3.916183471473519e-25
30	9.114662693384341e-24	1.905646844044604e-25
31	4.2191955033507675e-24	9.232932675889832e-26
32	1.948901849486131e-24	4.4613109537966856e-26
33	8.999605667152855e-25	2.1651081642499848e-26
34	4.154007162085707e-25	1.0709780379302228e-26
35	1.919384866879755e-25	5.290964966429474e-27
36	8.859653011150157e-26	2.6459656779397862e-27
37	4.086667768675685e-26	1.3282233496802968e-27
38	1.8886666786089895e-26	6.638397406942309e-28
39	8.708446659415826e-27	3.2861369369178405e-28
40	4.020227520439488e-27	1.6258941825049919e-28
41	1.8605955097661646e-27	8.166669434013114e-29
42	8.581598546692793e-28	4.0726738384086115e-29
43	3.9457144372468473e-28	2.0091286005945843e-29
44	1.8175413919620544e-28	9.972804322227087e-30
45	8.479662219377859e-29	5.038418685580404e-30
46	4.0708594612929073e-29	2.6479132880894814e-30
47	2.1898021795898252e-29	1.5581169953178866e-30
48	1.673565122444918e-29	1.2471881287809457e-30
