A0_old,A1_old,A0_new,A1_new,m0,m1,dm
9.948399170716982e-14,4.311734335814245e-14,1.5335847863771472e-24,2.70087200112582e-25,0.7697836062021195,1.0226563919207825,0.252872785718663
9.948399170716982e-14,4.311734335814245e-14,1.5335847863771472e-24,2.70087200112582e-25,0.7697836062021195,1.0226563919207825,0.252872785718663
9.949919489611004e-14,4.297882928777558e-14,1.5335230645516515e-24,2.7073637474169813e-25,0.7698105522585315,1.022306456130381,0.25249590387184945
9.949867447401481e-14,4.3090636803265393e-14,1.5335341425609046e-24,2.705402425086197e-25,0.7698422140665345,1.0221691509628568,0.25232693689632224
9.945581128137101e-14,4.316177592537098e-14,1.5338528129834022e-24,2.6758224551925044e-25,0.7697144404222197,1.0225232810131208,0.25280884059090125
9.948942034465703e-14,4.2929424920820437e-14,1.5336945543123709e-24,2.696097078696051e-25,0.7698018790304755,1.0218650400049771,0.25206316097450177
9.952876277353397e-14,4.3096951661885154e-14,1.5346436458932497e-24,2.6638029611034257e-25,0.7697653790023532,1.0238260745804872,0.25406069557813415
9.951242416448016e-14,4.308235711163882e-14,1.5339789829874366e-24,2.672984787804154e-25,0.7698274913848032,1.0234066528828,0.2535791614979969
9.946323509780213e-14,4.31696668248906e-14,1.5335791630390721e-24,2.715689575697852e-25,0.7697593034520139,1.021601995830046,0.25184269237803214
9.948399170716982e-14,4.311734335814245e-14,1.5335847863771472e-24,2.70087200112582e-25,0.7697836062021195,1.0226563919207825,0.252872785718663
9.949524875849739e-14,4.3279015617474796e-14,1.533658963386868e-24,2.6660360799406335e-25,0.7698379099641962,1.0239902708054545,0.2541523608412582
9.948399170716982e-14,4.311734335814245e-14,1.5335847863771472e-24,2.70087200112582e-25,0.7697836062021195,1.0226563919207825,0.252872785718663
9.946139367641431e-14,4.304269098185073e-14,1.5334355786412484e-24,2.7017136602836697e-25,0.7697372901507522,1.0219727125857845,0.2522354224350322
9.949347817813251e-14,4.302084012590594e-14,1.5336743298246542e-24,2.6903587248290122e-25,0.7698101587966824,1.0221876037387496,0.25237744494206726
9.94799199602237e-14,4.323330525244319e-14,1.533452756830888e-24,2.7074817494761913e-25,0.7697757316673014,1.0229320014755976,0.25315626980829614
9.9476135290106e-14,4.322359520503491e-14,1.5334604167940527e-24,2.733550022472657e-25,0.7697491500350482,1.0217291747770099,0.25198002474196163
9.949916006933305e-14,4.317378718328062e-14,1.5331989125541105e-24,2.7197257589441587e-25,0.7698165256646364,1.0229744768203808,0.2531579511557444
9.948399170716982e-14,4.311734335814245e-14,1.5335847863771472e-24,2.70087200112582e-25,0.7697836062021195,1.0226563919207825,0.252872785718663
9.948399170716982e-14,4.311734335814245e-14,1.5335847863771472e-24,2.70087200112582e-25,0.7697836062021195,1.0226563919207825,0.252872785718663
9.948254312799226e-14,4.310129134321024e-14,1.5334841970659757e-24,2.693528513112026e-25,0.7697812875205929,1.0226718652380453,0.2528905777174523
