	EffectiveMass	Error
0	0.0	
1	2.010392328572634	0.0009479504365760835
2	1.8899726570770996	0.0007192846744957357
3	1.9185840206493543	0.000680996133376169
4	1.9197904635543905	0.0005532847684111672
5	1.9236228238089785	0.0006466570971255523
6	1.9250559839713732	0.0006602120599267301
7	1.9259608194305329	0.0006854411211367965
8	1.9262494171829774	0.0007026126246469354
9	1.926545172053121	0.0008051132616938505
10	1.9263583280640562	0.0008049052015357645
11	1.926723471858774	0.0008583438877966184
12	1.925894585941744	0.0009532260897011298
13	1.9259516605418858	0.0010712454554913965
14	1.925549673483247	0.000966909203602666
15	1.9258797197070558	0.0010455192810962357
16	1.9262137727361843	0.001210438853262129
17	1.925458899385677	0.0013758725508411583
18	1.9246414013948918	0.001381655830002922
19	1.9244052831648237	0.0015028636149553715
20	1.9238686236748812	0.0016883090443225667
21	1.924005717839322	0.0019291588513032924
22	1.9250891780478656	0.0020237292973224017
23	1.9263839531605018	0.0019280243728377429
24	1.9255005158452057	0.0021788867944847585
25	1.9257986886265521	0.002622458298471071
26	1.9220552439679677	0.0029298024571176727
27	1.9219328620990865	0.003051726048513123
28	1.9223112918420948	0.003329533666082987
29	1.92076905377298	0.0035257182156956226
30	1.9208520019459792	0.00406075822438075
31	1.9217079978332328	0.0044946616990346
32	1.9256434576481964	0.005416651485987914
33	1.9189608524417117	0.005632355944724961
34	1.9210969835912157	0.006206363648545153
35	1.9201658582510757	0.00717155375258005
36	1.920581332302817	0.008412653288932771
37	1.9193463192682516	0.008743680657974677
38	1.9277123403639695	0.00940179414580655
39	1.9341325961224476	0.011063167075243711
40	1.930707974609913	0.013539181543560944
41	1.9134251542496241	0.013614406529423868
42	1.917416351280736	0.015946460769687955
43	1.920551481332328	0.016501789293847227
44	1.9098615663138443	0.01857143729674424
45	1.8858894945378601	0.018080197027369842
46	1.882410765717747	0.020401546813197103
