	EffectiveMass	Error
1	1.1959117170427895	0.0011383412742311553
2	0.8117701356780948	0.0009577056748302222
3	0.8245159979901229	0.0008721882848092554
4	0.7990505314819444	0.0007043320772919888
5	0.7908467249329293	0.0008000056719257228
6	0.7834330813140302	0.0007594248514943882
7	0.7782635485209879	0.0007679409892040654
8	0.7753368796394786	0.0008069374172318536
9	0.7720348411310963	0.0008865999772113026
10	0.7690435950285356	0.0008478919401559845
11	0.7674810600306088	0.000940488306481725
12	0.7654538069192686	0.0009610145433459825
13	0.7647733641919203	0.0010261486921470608
14	0.7633987857252615	0.0009574995852459038
15	0.7634680206171977	0.0009996331973032798
16	0.7630283357301066	0.0011084082705449666
17	0.7625371789451016	0.0011689736822337855
18	0.7615008107081116	0.0012821157727033914
19	0.7605329815697622	0.0012871935126934758
20	0.7603215974648365	0.001417256981351531
21	0.7598317690167027	0.0013276349103529671
22	0.7592681593875321	0.0014021536471318893
23	0.7601311708482692	0.0016172052646810046
24	0.7601444568319714	0.0017934452920907087
25	0.7584174146294878	0.0017750827668616092
26	0.7574005038440313	0.0017816528605053886
27	0.7598185081762532	0.0019679797971639814
28	0.7594196674305541	0.002129510014997754
29	0.7586308850750733	0.002301230214653079
30	0.759031825442648	0.002339037623569893
31	0.7619167988576012	0.0024648297552448076
32	0.7614017261207311	0.0028025625163585646
33	0.7631666781392207	0.0034620925579873572
34	0.7612852028398944	0.003500933720638812
35	0.7629217874468148	0.00399323000987977
36	0.7646830330946283	0.004497630430058004
37	0.7606744349214202	0.00473515847082279
38	0.765997345703918	0.005276728170864895
39	0.7648519530792409	0.0053983958927815105
40	0.7601391252201287	0.006351193235447072
41	0.7630964698993218	0.007648480110791154
42	0.7676651914605633	0.00781870697600749
43	0.7691157026048047	0.009328625179784125
44	0.7577712446150605	0.010246405852410172
45	0.7575219015938838	0.01092006952813789
46	0.7614824064624302	0.010908343113101975
