	EffectiveMass	Error
1	1.2661702655858758	0.001157906887420682
2	0.8693426085622946	0.0010562983562375902
3	0.8763757970738505	0.0010071839915436456
4	0.846163545390034	0.0007917908720628869
5	0.8341784647689382	0.0009385857290091375
6	0.8233927877560993	0.0008872820756093401
7	0.8155820309112695	0.0009518958762870964
8	0.8109284139973112	0.0009710491227976528
9	0.8059441982739429	0.0011540680143265892
10	0.8012750856404296	0.0010357808762367312
11	0.7985401447712126	0.0012314671651126796
12	0.7958761582064898	0.0013033417803597347
13	0.7944422313607972	0.0014889595101422561
14	0.7921207305442438	0.0013554939272074642
15	0.7918871581059462	0.0015255567592970675
16	0.7909776882176354	0.001666472018013643
17	0.7899465810284929	0.0017599597673605347
18	0.7884000912245006	0.0019336932270673762
19	0.7874659160988378	0.002169466738120156
20	0.7877127755152897	0.002315943918914043
21	0.787879656704198	0.0023228103904258646
22	0.7853022915117239	0.0023827186989699113
23	0.7875610516941143	0.0029672695801040766
24	0.7883027648133789	0.0036203677722888294
25	0.7844601789380351	0.003766807779192591
26	0.7821935615241815	0.0038055259186738225
27	0.7860023910865053	0.004641259779135413
28	0.7855250831604488	0.005180569306245819
29	0.7844393953938472	0.005985024590442421
30	0.788137826830858	0.006504937311915327
31	0.794122519986508	0.007151997990466142
32	0.78579256888384	0.007693765159170017
33	0.7922814349807236	0.009069547691389953
34	0.7901070877305664	0.009870664568118219
35	0.7988730440946583	0.01142988904871595
36	0.8013292809547978	0.013209631695753574
37	0.7918415978037241	0.016172061342264264
38	0.8114948254626612	0.01785377968604406
39	0.8069992488637234	0.01879602173885416
40	0.8042309597780599	0.02045799497700132
41	0.7920705811573872	0.029491073930697387
42	0.8035215330559088	0.03409966264711387
43	0.8359050224132831	0.040710188812001696
44	0.7890159473441264	0.040590240243379205
45	0.7904166831480827	0.0521946489125151
46	0.8179135749962028	0.06186966422253767
