A0_old,A1_old,A0_new,A1_new,m0,m1,dm
3.1822128602709605e-11,2.4764114121438512e-11,9.580633939666774e-20,1.1957280614503788e-19,0.9634282991748222,1.2574836497985578,0.29405535062373556
3.1823226948341545e-11,2.4722190311609626e-11,9.577222901306567e-20,1.1977872726557604e-19,0.9634658391230099,1.2580729645072082,0.2946071253841982
3.1816199450028416e-11,2.4804146632640227e-11,9.581134665198161e-20,1.1984961883485953e-19,0.9633321540559555,1.2581646481820823,0.2948324941261268
3.1821001088809364e-11,2.4719447402017097e-11,9.580802112287169e-20,1.1963359356492458e-19,0.9634095196318885,1.2575149887193302,0.29410546908744173
3.1823878512019606e-11,2.4694841069962468e-11,9.581599465416618e-20,1.1928785435904037e-19,0.9633981645744957,1.2570759286397701,0.2936777640652744
3.1818216998447225e-11,2.4808334556873647e-11,9.581879309507844e-20,1.1979502030261336e-19,0.963371437103167,1.2579512780715483,0.29457984096838136
3.1818788149486644e-11,2.4723844526306698e-11,9.581237224249906e-20,1.1955912945967577e-19,0.9633766259973162,1.25768213072772,0.2943055047304037
3.182710492506547e-11,2.473975152747736e-11,9.581936876699897e-20,1.194629905445725e-19,0.9633687843715109,1.2568310528858977,0.2934622685143868
3.1825640930377545e-11,2.471635386703978e-11,9.57962124985395e-20,1.196263076337467e-19,0.963413544469013,1.2574075373157636,0.29399399284675054
3.1822629272671486e-11,2.4760670160767078e-11,9.580322118767165e-20,1.1956781189261737e-19,0.9634146901127493,1.2575241636479795,0.2941094735352302
3.1823582338141624e-11,2.4738575201103202e-11,9.580848125080235e-20,1.19544837225444e-19,0.9634268329043049,1.2576952156042298,0.294268382699925
3.1822805471915364e-11,2.4763572608426364e-11,9.580245950652206e-20,1.195784264294801e-19,0.9634149981124184,1.2575146992956732,0.29409970118325485
3.182114661844205e-11,2.4787883302303907e-11,9.58028271461847e-20,1.1987755193859819e-19,0.9633893993503214,1.258264968751313,0.29487556940099147
3.182456298558954e-11,2.4731620320210155e-11,9.578938937222495e-20,1.1952103501768946e-19,0.9634487294317017,1.257538856194059,0.29409012676235746
3.182687866419741e-11,2.46326226430735e-11,9.582444185591867e-20,1.188460624725359e-19,0.9634150758445376,1.2566297322545417,0.2932146564100042
3.182851176895968e-11,2.4726367228646274e-11,9.577971399601962e-20,1.1960579818467607e-19,0.9634516568628301,1.2570797415542152,0.29362808469138507
3.181585535648528e-11,2.479030173331705e-11,9.579869126307675e-20,1.1980791051163896e-19,0.9633765326873606,1.2580611914833222,0.2946846587959615
3.1823465573168513e-11,2.4753540097218066e-11,9.581251658889736e-20,1.1953961681993656e-19,0.9633436462524831,1.257333639677976,0.29398999342549276
3.181968146255298e-11,2.478752325016566e-11,9.580745937924014e-20,1.1946204843992982e-19,0.9634358450732666,1.2576625484271196,0.2942267033538528
3.1823811765967906e-11,2.4762044512043544e-11,9.58019383017273e-20,1.1966749430826084e-19,0.9633919945700795,1.2573419811137108,0.2939499865436312
3.1837467541887856e-11,2.467664628225657e-11,9.583399371279797e-20,1.1932099655987364e-19,0.963478612735766,1.2572016769754537,0.2937230642396878
3.1820753946642814e-11,2.4722747524965315e-11,9.579736468921133e-20,1.196220681413901e-19,0.96346497064364,1.257822682020859,0.29435771137721894
3.182909551035411e-11,2.4731497626549864e-11,9.577687668921026e-20,1.1973259191157033e-19,0.9634311244560452,1.2574000394762956,0.2939689150202504
3.1745136217348443e-11,2.473313343053188e-11,9.555827815296369e-20,1.1900444054735495e-19,0.9632676693576676,1.2558788390412305,0.292611169683563
3.182226305375645e-11,2.479282779303717e-11,9.581760307368012e-20,1.1953347428725416e-19,0.9633412929354483,1.2572918025543227,0.2939505096188744
3.1822908807415175e-11,2.4759490980890096e-11,9.580010543562054e-20,1.1957305453830831e-19,0.9634139800475587,1.2575912551187693,0.29417727507121055
3.182156150309532e-11,2.4764154835771178e-11,9.581099632194322e-20,1.1954541712531788e-19,0.9633913569141935,1.2574795765774673,0.29408821966327375
3.1823754616750416e-11,2.4733972639974315e-11,9.580826223792653e-20,1.196351613637641e-19,0.9633694241195924,1.2574684584793565,0.29409903435976403
3.1819920741889915e-11,2.4767334614796466e-11,9.581790103804235e-20,1.1945334898963004e-19,0.9634256993162674,1.25758437137331,0.2941586720570426
3.1821177245656e-11,2.474326711010092e-11,9.580782607971313e-20,1.1962003717730133e-19,0.9634205123150376,1.2574936170305224,0.2940731047154848
3.180728981945433e-11,2.4888003167165164e-11,9.579926710214596e-20,1.2005681725278987e-19,0.963347930418863,1.2588927638712821,0.29554483345241905
3.182572529490606e-11,2.474224801708888e-11,9.578515641435078e-20,1.1959289545533223e-19,0.9634533979665193,1.257419711487853,0.2939663135213337
3.182370829716133e-11,2.4699995946146206e-11,9.58303915949283e-20,1.1894058174405153e-19,0.9634481375831752,1.2570880712747987,0.2936399336916236
3.183486740504815e-11,2.4626139892178656e-11,9.581063482835498e-20,1.193651943479705e-19,0.9634612845816347,1.2574197163025231,0.2939584317208884
