	EffectiveMass
0	0.9609344863891633
1	0.9606264877319368
2	0.9607365608215366
3	0.960486936569217
4	0.9607970809936555
5	0.9607275676727327
6	0.9607109928131137
7	0.9606763839721713
8	0.9607137775421175
9	0.9608803844451936
10	0.9610513687133821
11	0.9606740188598664
12	0.960892839431766
13	0.9608100605011018
14	0.9607898235321077
15	0.9607359027862583
16	0.9607149600982698
17	0.9607301139831577
18	0.9605457305908236
19	0.9605926513671906
20	0.9608448696136507
21	0.9604461765289336
22	0.960718746185306
23	0.9605955410003695
24	0.9607582283020051
25	0.9607520198822055
26	0.9607208633422883
27	0.9607381534576449
28	0.9606726360321076
29	0.9607219123840365
30	0.960701885223392
31	0.9605660343170197
32	0.9609239864349397
33	0.9610044574737582
34	0.9608594322204622
35	0.9607529830932651
36	0.9607432746887239
37	0.9605530548095735
38	0.9607361030578647
39	0.9607218360900911
40	0.9607278919220004
41	0.9607709026336702
42	0.9607122802734408
43	0.9606974029541048
44	0.9609108734130891
45	0.9606028556823762
46	0.9608125400543246
47	0.9607583427429232
48	0.9608234214782747
49	0.9607405185699496
50	0.9606974697113069
51	0.9607238674163852
52	0.9607251548767124
53	0.9607027912139925
54	0.9605416393280062
55	0.9606652259826691
56	0.9607002925872836
57	0.9607778072357209
58	0.9606328010559113
59	0.96078012466431
60	0.9605430698394808
61	0.9605233669281039
62	0.9609519481658968
63	0.9607776451110872
64	0.9608350753784212
65	0.9604860877990755
66	0.9606409835815461
67	0.9608373832702668
68	0.9607024002075228
69	0.9604608154296906
70	0.9608268737793
71	0.9607542228698764
72	0.9607927322387728
73	0.9606708526611358
74	0.9606960296630891
75	0.9606008434295685
76	0.9608129119873079
77	0.9609319496154818
78	0.9607326221466097
79	0.9608530426025423
80	0.9606790637970002
81	0.9605889797210727
82	0.9608687782287628
83	0.9607982635498078
84	0.9606760883331331
85	0.9608223724365267
86	0.9607501220703157
87	0.960618934631351
88	0.9606488037109406
89	0.9607945537567171
90	0.9606855678558381
91	0.9606835174560577
92	0.9606995677948031
93	0.9609985828399692
94	0.9609733104705842
95	0.9608129119873079
96	0.9609255123138458
97	0.9607234001159701
98	0.9606962680816682
99	0.9606395339965852
100	0.9607945823669466
101	0.9609101009368928
102	0.9604972553253206
103	0.960551042556766
104	0.9610069656372102
105	0.9607195663452182
106	0.960795536041263
107	0.9608045864105257
108	0.9606138420105013
109	0.9606718254089386
110	0.960794086456302
111	0.960761756896976
112	0.9607652378082308
113	0.9607560729980502
114	0.9606764793396028
115	0.9610121059417758
116	0.960779838562015
117	0.9607851505279574
118	0.9607327175140414
119	0.9609258556365998
120	0.9607839679718051
121	0.9607265186309848
122	0.9609027957916292
123	0.9608487796783478
124	0.9607069969177278
125	0.9607358932495151
126	0.960765075683597
127	0.9607952690124544
128	0.9606233692169222
129	0.9606118774414094
130	0.9609208202362092
131	0.9608435821533235
132	0.9607327556610141
133	0.9607695960998568
134	0.9608774662017854
135	0.9607808589935336
136	0.9610902976989777
137	0.9606516838073762
