	Correlator	Error
0	1.1399161831827862e-10	9.106354326341462e-13
1	6.754883840071279e-10	5.193512402608204e-12
2	3.291961781767254e-11	2.473912088484141e-13
3	1.7142496981182915e-12	1.2872720837183265e-14
4	8.67091563371225e-14	6.549545671600077e-16
5	4.349115588502721e-15	3.3132614764205333e-17
6	2.1660580506457973e-16	1.6827323676109867e-18
7	1.075875226922218e-17	8.580066532909229e-20
8	5.327431702635345e-19	4.384218237597952e-21
9	2.6329720232177918e-20	2.2527765907603707e-22
10	1.3018872268745141e-21	1.1690879598497084e-23
11	6.440313181868253e-23	6.130621537995821e-25
12	3.1785933399507044e-24	3.2053217360227387e-26
13	1.5683107086610175e-25	1.691314288066046e-27
14	7.723413494367457e-27	9.022459114941993e-29
15	3.8187265441928384e-28	4.867043457712821e-30
16	1.892511735191934e-29	2.6612909198437736e-31
17	9.34619987425147e-31	1.458608524298812e-32
18	4.593651234925892e-32	8.07461131410322e-34
19	2.26431228437651e-33	4.467060682501934e-35
20	1.1240087347507097e-34	2.503184543965663e-36
21	5.5470288634483794e-36	1.4277191668259883e-37
22	2.7377775834347615e-37	8.159810599954213e-39
23	1.3584061531337307e-38	4.777647695322699e-40
24	6.793163417016735e-40	2.8096470993045344e-41
25	3.276806189265699e-41	1.6620794575273676e-42
26	1.5903566278686365e-42	9.726618754835225e-44
27	7.722898082094711e-44	5.728437735721822e-45
28	3.7885217650415965e-45	3.4298808336980487e-46
29	1.8363577282754437e-46	2.0597194697956224e-47
30	8.602499235470428e-48	1.2477624142822694e-48
31	4.15180305654306e-49	7.601390909978604e-50
32	3.6883390178823936e-50	9.328884846185639e-51
