	EffectiveMass	Error
0	0.0	
1	1.4168372623455594	0.0014480650169190071
2	1.1435678740847528	0.0014463895692507108
3	1.1333492536499974	0.0014010924897552928
4	1.1106944831729746	0.0014312956064019054
5	1.0980349473082116	0.001511807365073249
6	1.0898198008815831	0.0016127182855401984
7	1.0835332686272836	0.001838585624988515
8	1.079729840542767	0.002003640505025583
9	1.0740252838681559	0.0021251206348580688
10	1.0711370209074325	0.002447763539629942
11	1.068124017377247	0.002801377158427272
12	1.0680077364996083	0.003096720008390939
13	1.0745498683165553	0.0037937328007093527
14	1.0703789415376188	0.004514567874711514
15	1.0730909339959682	0.005456185491512284
16	1.0634443639884659	0.006192090134894198
17	1.0732682785530394	0.007415160093084742
18	1.0727882844058094	0.00943997239263686
19	1.0760647302564674	0.011343999567628108
20	1.069369695634029	0.01284835780837645
21	1.0555968201018622	0.016089292179954875
22	1.0777322785858037	0.019913420485895037
23	1.0663032137932358	0.02504028768828756
24	1.1022848614308933	0.03250047156157065
25	1.1752519211501562	0.04619776372633357
26	1.1554305933313238	0.06231650248244423
27	1.107357289734103	0.07872366271145573
28	1.085070187747033	0.1024728560172633
29	1.2179867533375195	0.1753892299705725
30	1.5145079389856198	0.48258139114013776
