	Correlator	Error
0	2.493557540443577e-09	1.8998781379344208e-11
1	4.587246126344217e-08	3.475623585040674e-10
2	1.136942297542076e-08	8.421451482337143e-11
3	3.6469690265461734e-09	2.7217461279892847e-11
4	1.167262977308513e-09	8.841717301749256e-12
5	3.789579499308664e-10	2.9185796387256022e-12
6	1.236546066743154e-10	9.801323355710584e-13
7	4.0518078431237347e-11	3.309184031723702e-13
8	1.3304963560648359e-11	1.1273584112680634e-13
9	4.3732536909184086e-12	3.84562614895601e-14
10	1.4422133486217377e-12	1.320062825551118e-14
11	4.764355900000913e-13	4.5740519374145446e-15
12	1.5742438971155452e-13	1.5797280168793352e-15
13	5.2029380086299425e-14	5.452321833368503e-16
14	1.7144748135982647e-14	1.8918039875538822e-16
15	5.661551656362098e-15	6.619680892360079e-17
16	1.868446347861425e-15	2.325258200344935e-17
17	6.156134213478399e-16	8.197989911694561e-18
18	2.0200902128573735e-16	2.9196869623505006e-18
19	6.63691410559549e-17	1.0429666844274197e-18
20	2.185428323217275e-17	3.7714521533545243e-19
21	7.215865115258293e-18	1.3717566855254223e-19
22	2.3890779714329298e-18	5.002481811259632e-20
23	7.8468697575988465e-19	1.80785236151571e-20
24	2.5787746778355084e-19	6.6839907879370255e-21
25	8.37400781177329e-20	2.472815472452651e-21
26	2.7260970777381546e-20	9.261341016022749e-22
27	8.942040239403946e-21	3.451911298428254e-22
28	2.949162375491134e-21	1.2940888878608554e-22
29	9.600716410172346e-22	4.9150907177031134e-23
30	3.1515252801192923e-22	1.886272278667233e-23
31	1.111808734611463e-22	8.234022656397828e-24
32	6.549495391491169e-23	5.809047423715861e-24
