# Excited combined fit results
# ensemble: M1
# cmass: 0.280
# FF: A0
# use_disp: True
# frozen: True
# reg_low: 7
# reg_up: 18
# chi2: 42.80584897825101
# ndof: 32
# chi2/dof: 1.337682780570344
# pvalue: 0.09605393928299233
nsq	O00	dO00	O01	dO01	O10	dO10
1	0.27000375747168825	0.006463365275156435	-0.0878127706935605	0.06587525849525466	0.7196139906847457	0.1065289176924297
2	0.25286131091139497	0.006999447728623496	-0.08492469321454583	0.0497414009039964	0.8138050910845854	0.12193060603307108
3	0.23679165328464316	0.00818423736663254	-0.08840097943200861	0.04485049084279352	0.8181850870720739	0.1587260248204754
5	0.20989311526208057	0.011306825346054308	-0.036567020652701725	0.04366962075294597	0.9769608862406712	0.291781054017035
