# Excited combined fit results
# ensemble: F1S
# cmass: 0.275
# FF: V
# use_disp: True
# frozen: True
# reg_low: 13
# reg_up: 20
# chi2: 29.632955723519366
# ndof: 20
# chi2/dof: 1.4816477861759683
# pvalue: 0.07602341199124407
nsq	O00	dO00	O01	dO01	O10	dO10
1	0.8102651013569167	0.02015717871202445	-2.612033060527138	0.9757214371337654	0.73051634012708	0.6227981062244653
2	0.7889334428888068	0.021516223166733472	-1.9085387352624035	0.8142971342126526	0.8368570386880745	0.6789948426710548
3	0.7650330060380124	0.023734050697773748	-1.441533535846864	0.7038214481759404	1.0125230269596488	0.767412081356179
4	0.7729124769687109	0.025834733003832263	-2.0025646374242227	0.6349686222900066	0.4196647844392517	0.8694985007060784
5	0.7398222920467176	0.028705443533435366	-1.4307704023016081	0.625023457901355	0.8056509879618949	0.9384284983062804
