jackknife_index	O00_1	O00_2	O00_3	O00_4	O00_5	O01_1	O01_2	O01_3	O01_4	O01_5	O10_1	O10_2	O10_3	O10_4	O10_5
12	0.8092633775885022	0.7878944528510257	0.7638682917935603	0.7730643757558746	0.7384216202268651	-2.567931721236456	-1.8593034905847183	-1.4163081167336404	-2.025594251743772	-1.4194247128335549	0.7443399052315893	0.8561315401208637	1.034640826966037	0.41855238526577754	0.8605008283542787
13	0.8073522165492704	0.7859394182486682	0.7620761904726182	0.7725833213818821	0.7384529240431167	-2.4853991126640462	-1.8027901875791605	-1.3416676529012317	-1.966390058951967	-1.3798754713394772	0.7691614328438959	0.8660171181561862	1.030904456612185	0.4510113689709731	0.8002350166556058
14	0.8126975776496835	0.7918697208963961	0.7687630358900442	0.7751456065203023	0.7437918848648425	-2.6675240166274685	-1.9670490629331083	-1.5068413886642864	-2.014537478775414	-1.4762026054669624	0.6447024041186777	0.7451659513855585	0.9076579176537047	0.35815091722448755	0.7172293408678383
15	0.8093549689054194	0.7875540362420972	0.7629013504745852	0.7728957852085169	0.7379350972781337	-2.5991561066640263	-1.8428426477080457	-1.374882398488532	-1.9753063754451494	-1.3576276387601247	0.7524726246718019	0.8849188543534056	1.0902442208521776	0.4121690642890325	0.8786785672681426
16	0.808555488869727	0.7875511402763864	0.7639772053514062	0.7710936348092445	0.7390000113829925	-2.5474698603121424	-1.868905897424481	-1.4148827767339471	-1.9729119934056514	-1.4163898860910582	0.8350885557896037	0.9310925082463273	1.0898822566006197	0.5385532157570592	0.8869671660388131
17	0.8114656866103436	0.7906520575089462	0.7676114909221016	0.7722221112767065	0.7418578904102273	-2.6694157544936656	-2.0053491314398357	-1.5426530140727217	-2.0319460922656702	-1.5304663799390723	0.6254976102198208	0.6972158969081024	0.8274748852105612	0.29295913975466453	0.5802112682631088
18	0.8137465642690708	0.7925435735808547	0.7688324975241687	0.776015751783794	0.7438166716383197	-2.788918196938139	-2.032762760726657	-1.547212311230884	-2.0928221134296967	-1.5155917273600106	0.6890509402276799	0.7911968142171777	0.9537168988952219	0.39752565133628215	0.743743183686185
19	0.811702945564875	0.7894974966456261	0.7651088816194151	0.7725794294519746	0.7377527981224674	-2.7033477765805345	-1.965354785738486	-1.4783456414243248	-2.0248103701915907	-1.4277308110308553	0.704284425334992	0.8194129896018505	0.9941999664030763	0.3990810141182308	0.8219822383906069
20	0.8111728897346866	0.7897314585536427	0.765377430171086	0.7739283898034142	0.7399730693642582	-2.638338113070124	-1.90007804563947	-1.4245092506753654	-2.0013986025426096	-1.3868056352654459	0.6900267777586377	0.8007999213572464	0.9868218608253072	0.36413429248614376	0.780140606108138
21	0.8066036636657241	0.7847003258855635	0.7598109054727261	0.7673867780361329	0.7333200904201314	-2.605512321619955	-1.837557270560041	-1.3628894558582865	-1.9252592024065072	-1.3150761829001956	0.8483873483969895	0.9800145385166066	1.19202064481848	0.6246598255113163	1.0343187043700452
22	0.806805267840585	0.7854615850866218	0.7613121564411197	0.76917520034762	0.736830977398646	-2.4925569183982343	-1.7708671731844472	-1.3282001572455633	-1.9226934487389522	-1.3518650482019403	0.7933571099509279	0.9087468233813187	1.0954913991368667	0.4772499111995274	0.8755132536064285
23	0.8060773567924543	0.7846244652554211	0.7601528817488712	0.7689987778377784	0.7360427172663011	-2.3370236809737643	-1.682682244765106	-1.2699610388470217	-1.86577201087092	-1.318498416085468	0.8367629995604824	0.9540308057932154	1.1564016578995622	0.535049865738768	0.9398128107670518
24	0.8096440232805227	0.7887063808749385	0.764975022644315	0.7717745518700854	0.7398817478783057	-2.625867029476305	-1.9371097159877488	-1.4686207408735965	-2.0092586735973805	-1.4613718314579642	0.7447967552336007	0.8559401353670404	1.04325732529122	0.4905778986592204	0.862215044116887
25	0.8079639549472706	0.7866032191391148	0.7629742750161602	0.7690770389138484	0.7372226343328757	-2.4492789953245357	-1.7637059149527694	-1.3105930380357136	-1.832165003693909	-1.288692145406163	0.703175609315415	0.8004913307639582	0.963417999213915	0.398645291168832	0.7589399714886441
26	0.8098059679874342	0.7875834334656642	0.7630173932110508	0.7722315874235837	0.7368548539606792	-2.5370051320952856	-1.8349383028071402	-1.3718715531282435	-1.9787240758672335	-1.3723635154577083	0.7521251462143557	0.8820714312024427	1.0820293258117828	0.4332703632814967	0.8916135949765455
27	0.8122994701871793	0.7910478730150201	0.7668277735849064	0.7723578334576316	0.740856986907711	-2.666005108141482	-1.9486501660266438	-1.464999868605168	-1.9896377821909228	-1.4468055575032452	0.6934556955111018	0.7925395454678812	0.9723374064599235	0.4324952661267163	0.7562636053549684
28	0.8092315413556169	0.7870769334363498	0.762121232022162	0.7709605368880771	0.7354373393642416	-2.476120385036491	-1.7770778659154938	-1.323339630796299	-1.968553041080309	-1.3276434394428742	0.749958561126072	0.8687872359532901	1.066680373893841	0.41072501382259713	0.8642165646583355
29	0.8129934397736449	0.7919539598054307	0.7685918165733039	0.7759236542998142	0.7438309110590969	-2.6921113337345113	-1.981845185792647	-1.5191514904830907	-2.0163931987047556	-1.4940937634067448	0.6428692206074949	0.7385722596103532	0.8982797904937994	0.30945346249621847	0.6772558616116863
30	0.8100670924377978	0.7882263977925565	0.764286270032747	0.7734607081868529	0.7390818761212715	-2.609139668699613	-1.9088012011371238	-1.4373816626960152	-2.0108163288689105	-1.4319468726344529	0.7049689181035467	0.818210039269063	0.9942374374379886	0.3389749391136052	0.7844163022290274
