jackknife_index	O00_1	O00_2	O00_3	O00_4	O00_5	O01_1	O01_2	O01_3	O01_4	O01_5	O10_1	O10_2	O10_3	O10_4	O10_5
34	0.328561926621907	0.31967201147594937	0.31138299728863933	0.30989868983820495	0.29951930728186443	-0.05305607591734776	-0.06189094726847222	-0.07231583011784487	-0.06802440703102869	-0.08036843730899786	0.5940851708197323	0.5666319345619101	0.5272159065656709	0.6614982038154743	0.5648992027811544
35	0.3300400637543765	0.3213382423837566	0.31336790449765234	0.31169015589549876	0.3017256504039102	-0.03537502930809662	-0.04963334776024133	-0.062447738395389585	-0.0610902843296366	-0.0745523644085901	0.5894390689785927	0.5609314269250807	0.5202021047573042	0.6545063068274654	0.5516523457029283
36	0.32926677450271197	0.3203885459436679	0.3121294922272887	0.3104673695428476	0.3001171184002892	-0.04926600273145156	-0.05884077163927427	-0.0699175942295096	-0.06779927027608013	-0.07907911337322461	0.5863701105983581	0.5590116955086767	0.519816659054452	0.6500307609334325	0.5548585274828443
37	0.32969127610843546	0.3209340533271986	0.3127590486528084	0.31093636628064353	0.30093781940810127	-0.042510011223884606	-0.05473194735896484	-0.06597622547177635	-0.06275600607001469	-0.07661032062190155	0.5858931605005102	0.5601979345636597	0.5223294671101488	0.6526654902291327	0.5596213068027709
38	0.3296169619755659	0.3208299662853162	0.3126423125616877	0.31161435841455165	0.3010757493956456	-0.045422712232088554	-0.05547805288218663	-0.06808919109564757	-0.06561396674591365	-0.07755811602573437	0.5905809705452294	0.564859173261728	0.5276656223443876	0.6745218120340354	0.5831880306546684
39	0.32979033609705766	0.32101765603082355	0.3129308941546237	0.3109560500693103	0.30096519069196637	-0.038789506335979135	-0.05266339067967959	-0.06509652580112364	-0.06257145001755146	-0.07562831838518393	0.5756319815803165	0.5461979566410313	0.5058590606316961	0.6305081430076116	0.5321847250845899
40	0.329296477360868	0.3205539183960989	0.31250652983296845	0.310747318820943	0.3007507440558617	-0.03949808036433883	-0.053203195523607215	-0.06544032530013083	-0.062305086720066516	-0.07675864705766369	0.5894467036865428	0.5614445566738453	0.5229125753531201	0.6448422143633719	0.5490584596325953
41	0.3288643006365479	0.32021356855063804	0.31218496174098803	0.31092590505923406	0.30076116701302114	-0.04059134019316389	-0.052528096930751875	-0.06369187466596135	-0.06149786633298456	-0.07442193935215573	0.5855500345496731	0.5597822775464598	0.5223945247295102	0.6516954829021198	0.5631773414928517
42	0.328887176764141	0.3201689507057659	0.3121144589882575	0.31011526973544284	0.3002852434859647	-0.039307800598533456	-0.05241815827119067	-0.0652148064338664	-0.05911202144469112	-0.0744224906334254	0.5983796051060705	0.5719957467968458	0.5349925305444647	0.6535822353610445	0.5684793567898808
43	0.3290929498796007	0.32036039643062164	0.3124269680803684	0.3106969694365174	0.3007983115049256	-0.042496252182183315	-0.0555266324053393	-0.0672003307249114	-0.06225912757550144	-0.07753260301174769	0.611056858728509	0.5847943046447479	0.5458430038264945	0.6809975388899988	0.5837748737458123
44	0.3293489913240114	0.32061940096843866	0.31260665456819386	0.3105250076557933	0.3007353003641214	-0.04315976365645605	-0.054487157742337554	-0.0660474201390506	-0.059419781552834436	-0.07430694273973398	0.588079262168633	0.5604504618298213	0.5211985104986568	0.6562874058626197	0.5597190102356265
45	0.3289991078005442	0.32016811650020527	0.3119947787800543	0.310374694653438	0.3002511464994678	-0.04735625642116975	-0.05712736763582308	-0.06803641349517855	-0.06379891876914306	-0.07696470239042283	0.5817416175247906	0.5521456144362602	0.5100479792673382	0.6458711176685784	0.543798404509748
46	0.3292739785488415	0.3204273970075292	0.31224228390484476	0.31083075011748945	0.30046503229982197	-0.038939676956428755	-0.05124581162538806	-0.06422112603263665	-0.06215229011733245	-0.07522135802916022	0.5885925347374185	0.5619919892387606	0.524317731360289	0.651968266425627	0.5616181412795249
