jk_index,nsq1,nsq2,nsq3,nsq4,nsq5
0,0.8112702411601943,0.7940237468979691,0.7783854291721112,0.7643557078626095,0.7518114581577747
1,0.8107814214873832,0.7940106939940943,0.7788196977111892,0.7652151766295203,0.7530632061523052
2,0.8098963344096112,0.7932266511755622,0.7781030232358414,0.7645294742568528,0.7523802156944676
3,0.8062095935257341,0.7890942778183809,0.7735930143647116,0.7597018644914075,0.747306190303757
4,0.8071244826360535,0.7901547901036159,0.7747245883052598,0.7608424078325018,0.7483737214802986
5,0.8121272921318982,0.7957717713110066,0.7809768596344417,0.7677476113568983,0.755955019081098
6,0.8090019801729624,0.7927155764206476,0.7779578462016173,0.7647363648604075,0.7529193855350211
7,0.8111832827207526,0.7943618626110305,0.7791272899519249,0.7654806989753958,0.7532991222565897
8,0.8087697839855491,0.791914690220836,0.7766550066193941,0.7629926242561416,0.7508023734284662
9,0.8089816043116494,0.791657854347131,0.7759761371972381,0.7619366760148149,0.7494141752376318
10,0.8085663540801313,0.7916427774117745,0.7763003728571638,0.7625451348023495,0.7502445655515149
11,0.8126424024098519,0.7959388900682121,0.7808165306272863,0.767281222464232,0.7552006661311829
12,0.8097208185463034,0.7930745999323163,0.7779502306879216,0.7643574626609795,0.7521606066779889
13,0.806872383965094,0.7903084197094326,0.7753874672330939,0.7621090674355171,0.7503492487264354
14,0.8121981470676414,0.7954750881583091,0.7803098837881233,0.7667079168099566,0.7545397157295686
15,0.8098589833134379,0.7927421314728188,0.7771828817484134,0.763194510786431,0.7506313865544558
16,0.8076387387351336,0.7909820823041804,0.7759430381393602,0.7625198900460921,0.7505931741098013
17,0.8103351077328288,0.7934298389439669,0.7780566886087458,0.7642207708167172,0.7517951215787799
18,0.8133900776910372,0.796512255766623,0.7812434208998776,0.7675872418383075,0.7554138730190361
19,0.8116103321184076,0.7941247038187237,0.778216750317852,0.7638890009569803,0.7510163261530596
20,0.8111329784422325,0.7942495157272318,0.7789739435514849,0.7653074132585433,0.7531253225158427
21,0.8071533109801269,0.7897173444419527,0.7738915866351791,0.759683048921497,0.7469549415779055
22,0.8071361114881317,0.7899087593508111,0.7742989320783841,0.7603100591499464,0.7478121363252022
23,0.8047812126249428,0.7878477998277668,0.7725063306533821,0.7587608448129892,0.7464820321422425
24,0.8089473565541638,0.7921148308143504,0.7768254956026639,0.7630838590385254,0.750763357403886
25,0.8074679934850583,0.7903434224040462,0.7748713960422239,0.7610560991397722,0.7487633169744594
26,0.8097687990629288,0.7924607896659159,0.7767484828952622,0.7626350888473776,0.7499927120162628
27,0.8114054168482706,0.794094951159613,0.7783519340207025,0.7641821796392642,0.7514546029828062
28,0.808763350010751,0.7915591508880393,0.7759154103590019,0.7618355723380379,0.7491939415516772
29,0.8122374639961618,0.7955992622047758,0.7805688748214514,0.7671539542127989,0.7552165788348446
30,0.8095235299362213,0.7925440436055831,0.7771716528376638,0.7634081478113228,0.7511276772271293
31,0.8097573619402283,0.792473336220421,0.7767454819011829,0.7625796288276598,0.7498455172789962
32,0.8045862052038282,0.7872339935866779,0.7715017004753878,0.7573960772740159,0.7447801288876883
33,0.8101757851448644,0.7934349714988168,0.7782696983835968,0.7646934296840833,0.7525587857923491
34,0.810379908028507,0.7937240635078507,0.7786765357523617,0.7652419912408621,0.7532885903433022
35,0.8099069892111455,0.793299176363528,0.7782311208381184,0.7647070812010787,0.7526012662529818
36,0.8115070154242456,0.7947692708029557,0.7795953316831978,0.7659893037878616,0.7538238808956116
37,0.8082393904760699,0.7913121207577951,0.7759988756685997,0.7622970182533617,0.7500892446153337
38,0.8111737348966708,0.7945801855528613,0.7795322049370942,0.7660358464012511,0.7539611981929296
39,0.8097741980430492,0.7926988380407163,0.777240553382913,0.763397874027578,0.7510508723472281
40,0.8123596262916888,0.795127990425094,0.7794963966728474,0.7654676630586046,0.7529143677824777
41,0.8067176710560789,0.7898048116090112,0.7744529989729296,0.7606629215067694,0.7483144872163875
42,0.808360466013278,0.7915597835276598,0.7763192945555343,0.7626475063000538,0.7504083655328596
43,0.8088339786764911,0.7918507766080047,0.7764389113666222,0.7626042874342202,0.7502153391329227
44,0.8106346068190413,0.7936500672876625,0.778237771702098,0.7644012050362337,0.7520136918576551
45,0.8071667786023357,0.7900896870560008,0.7745453927506091,0.760537291331798,0.7479418894600629
46,0.8095490714531451,0.7919228113198655,0.7759289925147049,0.761567862776741,0.7487148053580007
47,0.8124753517670777,0.7961901594445321,0.7814969285357003,0.768398664604183,0.7567681758019136
48,0.8110834608979823,0.7942523254170571,0.7789473710172998,0.7651723243029404,0.7528035165802878
49,0.8107272009809682,0.7934163669241489,0.777707541006716,0.7636004622702047,0.7509738703642963
50,0.8097756500626433,0.7927355835452136,0.7773176329372342,0.7635213264786928,0.7512243071690399
51,0.809213748075275,0.7925552673117214,0.7774408434396295,0.7638793172419079,0.75173517857184
52,0.8107937196870694,0.7942560031115404,0.7793337426646354,0.766031844404635,0.7542174348593862
53,0.8124669587398686,0.7961767210360455,0.7814632333630477,0.7683314679425085,0.7566513583817419
54,0.8093016539759734,0.7922757796522507,0.7769029038166881,0.7631857641019157,0.7509930773906919
55,0.8107375865035712,0.7935576432649861,0.7779166117550954,0.7638239150714594,0.7511432406794656
56,0.80825724864708,0.7912879498499379,0.7758376181636595,0.7619137764444949,0.7493855233607829
57,0.8098696483538574,0.7933405977343789,0.7783462976124113,0.7648971802394275,0.7528551810052012
58,0.8093699508228744,0.7924763103658939,0.777204878834728,0.763556987717323,0.7514065768649993
59,0.8066546691562158,0.7895655771118684,0.7740851722105895,0.76022126887804,0.7478355470504139
60,0.8121979361203442,0.7955177994126958,0.7804530590313097,0.7670013312361341,0.7550446888357667
61,0.8084502625259227,0.7922012806355183,0.7775435445907689,0.764484411349498,0.7528878245118724
62,0.811756765213736,0.7948676626123271,0.7795155743738367,0.7657068501743693,0.7533116212517774
63,0.8086372601114619,0.7916573727728246,0.7762464055931271,0.7624115336362897,0.7500187706723237
64,0.8084233765152861,0.791244798312292,0.7756568027007502,0.7616619229137253,0.7491340400554974
65,0.8058688323244487,0.789076843517797,0.7738466962725791,0.7601859412180877,0.747960360498211
66,0.811715627799968,0.795525130270938,0.780894038071484,0.7678213881930388,0.7561905982081962
67,0.8076957305203141,0.7906538721982673,0.7751950142764635,0.7613204609719306,0.7489071889234372
68,0.8086853241733546,0.7918996915449911,0.7766544019177722,0.7629549086640989,0.750672927090138
69,0.8092530399020978,0.7917548881727122,0.7758316485147138,0.7614824164675286,0.7485893106744107
70,0.8099952594938455,0.7933332924773061,0.7783041650457283,0.7649092334228975,0.7530215785467832
71,0.8114147170572987,0.7948313800747935,0.7798886325463475,0.7665908218553501,0.7548043088316301
72,0.8116080486018407,0.7945095151084922,0.778964443028764,0.7649796078715322,0.7524230176415498
73,0.8066221805388467,0.7899504405988442,0.7748530350155038,0.7613399480635998,0.7492710239143767
74,0.8111866042527441,0.7943894420639839,0.779177087975895,0.7655527403985437,0.7533893560529049
75,0.8121785173329649,0.7953713984073849,0.7801541616177543,0.7665282511080269,0.7543698335169624
76,0.8113181438508801,0.7949103350831039,0.7801196292650657,0.7669432323400106,0.7552639283845903
77,0.8105406111076342,0.794219246323664,0.7795275276667053,0.7664634662451322,0.7549072421917941
78,0.8042488469197563,0.7870533168036392,0.7714632980504047,0.7574793352755839,0.7449782506239542
79,0.8101734771063747,0.7932165340898449,0.7778428572843464,0.7640531659771148,0.7517256155155467
80,0.8102591375956087,0.7943212566538871,0.7798965741056045,0.7669973964984751,0.7554834560529907
81,0.8105024419804197,0.7938434960623064,0.778744061777414,0.7652076540933174,0.7531085040946459
82,0.8111304176331716,0.7945557912790153,0.7795658587851929,0.7661631906003665,0.7542220392490511
83,0.8103173892334001,0.7928649804887642,0.7769433909405147,0.7625565231299037,0.7495799951289916
84,0.8122704042794167,0.7950730253695089,0.7794775771908049,0.765485619288736,0.7529721657525493
85,0.8053524095361536,0.7881474471898328,0.7725093276163598,0.7584457940381791,0.7458218536202714
86,0.8118756102100602,0.7957817329271956,0.7812940031135377,0.7684170960063363,0.757019318947787
87,0.8122161692642228,0.7952694570125003,0.7798751687783523,0.7660381521023271,0.7536304455717919
88,0.8101583216335109,0.7933852754876572,0.7782034590504192,0.7646101287068829,0.7524899321987404
89,0.8114761446134596,0.7948009715957972,0.7796960517476608,0.7661652781697726,0.7540812902533557
90,0.8123633974304932,0.7958031351166234,0.7807962674744817,0.7673447828688553,0.7553265064792385
91,0.8103982548107406,0.7934608812072674,0.7780961655452471,0.7643066903588907,0.7519675984512217
92,0.8089782635111281,0.7922054351920013,0.7770676456231216,0.7635728821657515,0.7515804668708264
93,0.810154593216601,0.7931958568540327,0.7777841674403588,0.7639303128515031,0.7514945647044919
94,0.8097197391595244,0.7929229201280054,0.7777400909505009,0.7641785790132524,0.7521006593790167
95,0.8117116731534939,0.7949590749674137,0.7797881233715382,0.7662038338267553,0.7540756790451033
96,0.8079663448427364,0.7907566231351092,0.7751419425262625,0.7611211262499371,0.7485753207466679
97,0.8108687483968315,0.7937027548359135,0.7781067957133585,0.764085469731974,0.7515099866557916
