	Correlator	Error
0	1.8017364970683152e-11	3.222418599359211e-13
1	3.054233592090192e-11	4.607981355021374e-13
2	8.207445902089687e-12	1.187864696019797e-13
3	3.086425787257628e-12	4.410954213511952e-14
4	1.1544773956765439e-12	1.642688917568682e-14
5	4.410840520940955e-13	6.303902719501373e-15
6	1.696425465985171e-13	2.44508245857916e-15
7	6.577771850042162e-14	9.626948047546932e-16
8	2.5595836425111713e-14	3.8054891612785873e-16
9	9.992109081653442e-15	1.5070403193598906e-16
10	3.913745234130965e-15	6.012667115626026e-17
11	1.5338220408077872e-15	2.4172907024966156e-17
12	6.005697519805997e-16	9.718396390247371e-18
13	2.3560972236417363e-16	3.9329925025398405e-18
14	9.259103392032538e-17	1.6117729595454537e-18
15	3.6508862921113706e-17	6.65837084748312e-19
16	1.437000333360677e-17	2.7264842678568357e-19
17	5.6550240344571926e-18	1.1157836700045188e-19
18	2.2350378994085935e-18	4.634554779802199e-20
19	8.801966945543863e-19	1.9096357057678502e-20
20	3.4667844552751365e-19	7.8594223757679e-21
21	1.3675269267100262e-19	3.249431095538301e-21
22	5.3981180648797126e-20	1.3526642530689143e-21
23	2.1292908236873932e-20	5.7097877870864e-22
24	8.364717988674432e-21	2.3902719033030053e-22
25	3.2939289631742938e-21	1.0037028184488023e-22
26	1.3007481763453742e-21	4.2452676793422934e-23
27	5.1190022165385575e-22	1.799884448798698e-23
28	2.0258974046581314e-22	7.805626602750698e-24
29	8.082837441846152e-23	3.363020841921605e-24
30	3.278288363211504e-23	1.4881694847792885e-24
31	1.482318555810713e-23	7.517369613836024e-25
32	1.0345795774322425e-23	5.649022540609474e-25
