	EffectiveMass	Error
0	0.0	
1	1.3990221091753543	0.002263660939043682
2	1.032570895269073	0.0020503589214001623
3	1.029472458843824	0.0018978386686508018
4	0.9989837822590694	0.0020933799202327804
5	0.986153331304465	0.0020847134566311563
6	0.969839114569041	0.0022011513782319923
7	0.9627089338724732	0.0023697555088007007
8	0.9562032311640187	0.0025172905521700386
9	0.9488106835848537	0.0028884909275577316
10	0.9451614702899432	0.0031833513965768916
11	0.9475933080287724	0.003160401298809162
12	0.9431658043539668	0.0037121283638047887
13	0.9444146228820052	0.004506246899847109
14	0.9348050273407822	0.004976348289874762
15	0.9374345774878439	0.005425646613571103
16	0.9402467972347606	0.006295101282883621
17	0.927996395978968	0.007578520459466542
18	0.9460691881971091	0.008554710804831517
19	0.9349126957200746	0.010046633777458618
20	0.9345766142768586	0.01200959351281311
21	0.9376952520794805	0.014049592749023527
22	0.9375970749145954	0.01693715928287247
23	0.9797933419407014	0.02087208409086576
24	0.9506901294702137	0.024732478453424307
25	0.9272347244496755	0.029089164145343682
26	0.9169648536010359	0.03354128608840882
27	0.8755270506156383	0.040670695303260916
28	0.8854382271211306	0.0445552079084424
29	0.8361771901264121	0.051575880770742884
30	0.8398987112834034	0.054656195981594304
