	Value	Error	pval
0	2.2516261386871426	0.0010328957205123	0.0429001863350697
1	0.910312395095828	0.0008070172539224	0.0314686421562891
2	0.9293834018707304	0.0008995564838038	0.0099608335659555
3	0.9483176136016876	0.0010366443245331	0.0146414389165541
4	0.9669773292541536	0.0012319892888361	0.0622745936133339
5	0.9860807704925568	0.001509251047613	0.0818845880793106
6	1.0036942768096957	0.001762234739794	0.3756864173370573
7	0.6856387805938742	0.0163504847513811	0.529296546302529
8	0.6639159011840841	0.0198788601892644	0.2229592016645214
9	0.6495221424102802	0.0266225109294997	0.0738288528819339
10	0.6456728458404561	0.0376424729163509	9.577088011525348e-10
11	0.6191486072540302	0.0448983289453521	1.8274270985330082e-13
12	0.2933543968200691	0.0065579892768655	0.979745341950552
13	0.2801625823974616	0.0075993696629709	0.979745341950552
14	0.2640415668487553	0.0094927579308156	0.979745341950552
15	0.2763221836090094	0.0152184855122191	0.979745341950552
16	0.2516466140747075	0.0156291034379912	0.979745341950552
17	0.4271946811676037	0.0083417594388059	0.989657463809408
18	0.4132219696044933	0.0093574058526985	0.9415185417386404
19	0.3969124794006358	0.011428278305931	0.9415185417386404
20	0.3775276184082041	0.020601168191387	0.9415185417386404
21	0.341883153915406	0.0254014441442888	0.9415185417386404
