	Value	Error	pval
0	3.0085610001408263	0.001064535594631	0.206608924215419
1	1.0475446554711187	0.0010962142969677	0.206608924215419
2	1.0738556119195777	0.0011569672075585	0.206608924215419
3	1.0988523490367883	0.0014319267047395	0.206608924215419
4	1.12329552332416	0.0017951723885664	0.206608924215419
5	1.1444233984857617	0.0023273184835709	0.206608924215419
6	1.1673698365494605	0.0027191487851175	0.206608924215419
7	0.2909442002560203	0.0070207966334699	0.206608924215419
8	0.2848332859876154	0.0079955252569614	0.206608924215419
9	0.2817586872844485	0.0093805840278557	0.206608924215419
10	0.2910988097311145	0.0149925263878205	0.206608924215419
11	0.2890156485274691	0.0173352201385386	0.206608924215419
