	Value	Error	pval
0	2.254128026962289	0.0011616485308706	0.4495620780330811
1	0.9141814041137726	0.0009652183625109	0.2785388739639931
2	0.9334781551361117	0.001066118515443	0.156648446066832
3	0.9522350311279328	0.001206159291456	0.1661941956400225
4	0.9706473922729524	0.0014060083011004	0.2008086451123596
5	0.988594970703128	0.0017309654762337	0.2260035181880108
6	1.0061882781982452	0.0019861647575903	0.3782110164021492
7	0.7055786705017113	0.0150989282242613	0.4277899001364522
8	0.6899179267883322	0.0182596883427121	0.3768569665475718
9	0.6824165725708029	0.0254927150302073	0.3095553159616138
10	0.6187149238586445	0.0361162084014369	0.6932980925419251
11	0.6082216453552265	0.0411425168857923	0.170194736032239
12	0.3013412952423102	0.0059040898359284	0.3721840528096567
13	0.287825717926026	0.0071620591663328	0.3721840528096567
14	0.2770193862915045	0.0095473554441137	0.3721840528096567
15	0.2899737739562995	0.0159891218394712	0.3721840528096567
16	0.2562108612060552	0.0166986280473147	0.3721840528096567
17	0.4344226360321057	0.0067740170511289	0.5532920459500315
18	0.4240642833709728	0.0080511712189744	0.4731282617566372
19	0.4125828266143809	0.0104689811251693	0.4731282617566372
20	0.3765368843078622	0.0212162240768109	0.4731282617566372
21	0.3709064197540292	0.0265304849047831	0.4731282617566372
