	Value	Error	pval
0	1.9244310313425803	0.000567521638958	0.05515697603292957
1	0.7697836062021195	0.0004213168214075	0.05515697603292957
2	0.7799678525784053	0.0004608331442495	0.05515697603292957
3	0.7897593269388395	0.0006170644653357	0.05515697603292957
4	0.7993811647773964	0.0004776245946044	0.05515697603292957
5	0.8085576748102955	0.000630575542492	0.05515697603292957
6	0.8177933105467748	0.0005851403448072	0.05515697603292957
7	0.4748905522317052	0.0099947124406246	0.05515697603292957
8	0.4657394299080526	0.0107147419457744	0.05515697603292957
9	0.4572624709062463	0.0116080696235186	0.05515697603292957
10	0.4386618956967925	0.013857942920028	0.05515697603292957
11	0.432429320787598	0.0148655990507756	0.05515697603292957
