	Value	Error	pval
0	1.924991788864143	0.0012687029112616	0.966893928362281
1	0.7346426868438745	0.0009975961475355	0.3718219299075289
2	0.7457342529296899	0.0011094153975156	0.3754614782958919
3	0.7566707420349146	0.0012401158233862	0.4000952079748117
4	0.7674533462524438	0.0013923356549092	0.4665201096396064
5	0.7774752140045191	0.0015635861860192	0.3513900520250974
6	0.7878821277618433	0.0017546416889921	0.4778089882982822
7	0.8138537979126002	0.0130437246467674	0.8045825195747253
8	0.7931755542755154	0.0146056983260925	0.9438894290895632
9	0.7717359066009546	0.0167849334077072	0.9925703730602368
10	0.7692006492614771	0.0202236142025597	0.7954969440384909
11	0.7416729068756129	0.0229907825657618	0.9911235560770312
12	0.3256836223602303	0.0045866184515223	0.0456275592920902
13	0.316376380920411	0.004891896991862	0.0456275592920902
14	0.3073588085174568	0.0054876844595779	0.0456275592920902
15	0.305753250122071	0.0081198832873102	0.0456275592920902
16	0.2940984344482429	0.0077584656618564	0.0456275592920902
17	0.4803411769866957	0.0056118932895987	0.0176651370111925
18	0.472159986495973	0.0060452965770008	0.0674363513696513
19	0.4633763980865492	0.0067612741815787	0.0674363513696513
20	0.4498653125762952	0.0094527515588883	0.0674363513696513
21	0.4403667831420911	0.0109238997229229	0.0674363513696513
