	Value	Error	pval
0	2.255415713399502	0.0013597050304672	0.11005961087441563
1	0.9135239430605032	0.0008841390363781	0.11005961087441563
2	0.9319790718772044	0.0008661578531013	0.11005961087441563
3	0.9486167332083276	0.0009343003026201	0.11005961087441563
4	0.9645036577682112	0.0010791515734338	0.11005961087441563
5	0.9820857502484316	0.0011729202754382	0.11005961087441563
6	0.9988479986905456	0.0013394410472076	0.11005961087441563
7	0.4463675934077392	0.0108340476513935	0.11005961087441563
8	0.4305158081099978	0.0118063753543961	0.11005961087441563
9	0.4162184361042971	0.0141559904447266	0.11005961087441563
10	0.3839119405725086	0.0223179753555684	0.11005961087441563
11	0.3749847765808162	0.0273892642991648	0.11005961087441563
