	Value	Error	pval
0	3.006277952194224	0.0012401864610597	0.9832394291152252
1	1.104326667785648	0.0009262851105293	0.1065301236019068
2	1.1303342819213906	0.0010707188213041	0.1912623954391245
3	1.1559102058410682	0.0013009327596816	0.2001408987257907
4	1.1811139488220257	0.0016428850696812	0.1275423693230201
5	1.2037836742401165	0.0020174954093164	0.0432251960505386
6	1.2279336452484175	0.002430458747702	0.1104578656808386
7	0.4965574932098402	0.0088256058913643	0.8069160086858591
8	0.4762337589263929	0.0103417069053468	0.6009462523701984
9	0.4573836803436292	0.0136143389903064	0.3612897630140091
10	0.42558976173401	0.0190666664256134	0.676475636023464
11	0.3871461772918712	0.0214560913838956	0.3345898091185029
12	0.2004381847381595	0.0031859757652287	0.0961870882761029
13	0.1903119468688968	0.0037909456423209	0.0961870882761029
14	0.1812308502197268	0.0048944432537846	0.0961870882761029
15	0.1893593406677249	0.0081054729906457	0.0961870882761029
16	0.1676922702789309	0.0078536601968276	0.0961870882761029
17	0.2965585899353034	0.0038331830417466	0.0863294783605912
18	0.2882063865661628	0.0045803617560127	0.1891140374755071
19	0.2808971500396734	0.0059605898587083	0.1891140374755071
20	0.2558668041229254	0.0106462181713227	0.1891140374755071
21	0.2429291439056401	0.0130515088152094	0.1891140374755071
