jk_index,nsq1,nsq2,nsq3,nsq4,nsq5
0,0.6481374979482755,0.62776666436479,0.608499142001272,0.590536695915697,0.5733250284474432
1,0.6471646224275127,0.6268164946921339,0.6076040625892901,0.5897257044597446,0.5726299849031504
2,0.6482198875184266,0.6281870071538844,0.6092236006207825,0.59153565440019,0.5745644769297555
3,0.6471311085538135,0.626767195716557,0.6075671184890912,0.5897267105467873,0.572696205268343
4,0.6489068305149148,0.6290097098025873,0.6101807449118773,0.5926218093674744,0.5757828314831971
5,0.6480945700913302,0.6282150216950204,0.6094203674697599,0.5919136190855736,0.5751402474726256
6,0.6471983071354251,0.6270795754627405,0.6080744927673658,0.5903845068190912,0.5734546638201365
7,0.6470663988153549,0.6270448886287618,0.6081307526009646,0.5905257368589141,0.5736750684866925
8,0.6474950366452209,0.6273496301195695,0.6082863709126373,0.5905071471021026,0.5734600864747634
9,0.6477992320924443,0.6274710685097277,0.6082627572867204,0.590374158859703,0.5732527967356484
10,0.6465932329882348,0.6262924196403722,0.6070801205868359,0.5891578899279176,0.5719737361139731
11,0.6470155290093518,0.6268394449334725,0.6077803050623176,0.5900394258177548,0.5730617063431092
12,0.6472709125165326,0.6268470403422933,0.6075483817821401,0.5895755646025858,0.5723738568042104
13,0.6478653620247209,0.6275007297256605,0.608260976591828,0.5903459795642546,0.5732025920889837
14,0.6480850300805675,0.6277867593244506,0.608600294789628,0.5907273282490791,0.5736126376215671
15,0.6473782025946722,0.6272591683251206,0.6082756287149447,0.5906243985241889,0.5737572813078657
16,0.6464243187204676,0.6258169246074385,0.6063603666169323,0.5882520353043917,0.5709406093764725
17,0.6474856193203483,0.6271764188442017,0.6079887637192137,0.5901214568469302,0.5730239809670925
18,0.6483499682459453,0.627785615384158,0.6083537205106622,0.5902537151266685,0.5729324090643086
19,0.6475656069058963,0.6276165527533629,0.608790214170871,0.5912870528114778,0.5745529942038525
20,0.6467494655484167,0.6264014446322241,0.6071930137451214,0.5893222439416067,0.5722378385321143
21,0.6469317382661884,0.626640415419123,0.6074830314413533,0.589659606114079,0.5726155528123509
22,0.6479669808743709,0.627789030607397,0.6087400394313895,0.5910206033176792,0.5740755816250456
23,0.6484007911300593,0.6282185297197194,0.6091536927433745,0.5914060839726819,0.5744236506264386
24,0.6483082607959306,0.6282009425220331,0.609221906032256,0.5915714027314993,0.5746950858556118
25,0.6460623353419899,0.6258234274861224,0.6066988059426077,0.5888883191624433,0.5718402196657695
26,0.6472803712435473,0.6270826987244011,0.6079968459155907,0.5902224376416427,0.5732084981744452
27,0.6468587694008066,0.6268106716585615,0.6078935397066577,0.5903046685842334,0.5734954478871801
28,0.6469084416144769,0.6267592763457144,0.6077356242555463,0.5900349589386563,0.5731089930431298
29,0.6489264144075965,0.6286533182764399,0.609494344540523,0.591650380111414,0.5745675639747073
30,0.6478538665226625,0.6276840452455045,0.6086562084077829,0.5909665620181801,0.5740673394788954
31,0.6470059479835008,0.6265087818054571,0.6071650795073203,0.5891710539974484,0.5719774717799208
32,0.6470099311036754,0.6266078756218196,0.6073421564199438,0.5894110307064856,0.572263230962594
33,0.647696945566518,0.6277492213373731,0.6088971307876653,0.5913438645775595,0.5745331666911906
34,0.6469919966765546,0.6265565261797433,0.6072350114924508,0.5892282739241396,0.5719826083693442
35,0.6466870318945034,0.6264340612721055,0.6072931564765396,0.5894646245525098,0.5723960565047268
36,0.6483305488558048,0.6277708162685001,0.6083367785885545,0.5902276555269905,0.572891548058717
37,0.6472639684696386,0.6271698989818317,0.6081908684946367,0.5905269883109832,0.5736258754767737
38,0.6481979451754022,0.6279589178450895,0.608842617319674,0.5910492981921245,0.5740253101260202
39,0.6473444447608184,0.6273419699072684,0.6084671859379762,0.5909195764284554,0.574146447460752
40,0.6476938769127794,0.6272422825191205,0.6079261308520295,0.5899464607142868,0.5727464008419991
41,0.6475226609581533,0.627240497839029,0.6080940894464395,0.5902818311691536,0.5732522450908862
42,0.6489259147685769,0.6285748772076204,0.6093430095486535,0.5914310449939918,0.574284799677965
43,0.6474932749679289,0.6270773968108335,0.6078140229581839,0.5899011787614171,0.572786027166049
44,0.6471966782692906,0.6267590309170169,0.6074549816543212,0.5894837887192964,0.5722924737608384
45,0.6463950151752503,0.6262066312182263,0.6071270807332818,0.5893565962557661,0.5723433309773988
46,0.6472400290863088,0.6268249238242773,0.6075301360923723,0.5895553371631448,0.572348380451967
